model,noise_type,noise_level,fold,train_size,val_size,actual_noise_pct,runtime_seconds,ram_gb,accuracy,f1_macro,f1_weighted,precision_class_0,recall_class_0,f1_class_0,support_class_0,precision_class_1,recall_class_1,f1_class_1,support_class_1,precision_class_2,recall_class_2,f1_class_2,support_class_2,precision_class_3,recall_class_3,f1_class_3,support_class_3,precision_class_4,recall_class_4,f1_class_4,support_class_4,precision_class_5,recall_class_5,f1_class_5,support_class_5,precision_class_6,recall_class_6,f1_class_6,support_class_6
Stacking,asymmetric,0.0,4,80000,20000,0.0,252.87779927253723,6.1519872,0.92925,0.8988543711610585,0.929051520051103,0.9360391882435269,0.9171695008228196,0.9265082773429383,7292,0.9273619877767759,0.9491386382280558,0.9381239547965338,9752,0.9344262295081968,0.926829268292683,0.9306122448979591,1230,0.8842105263157894,0.8842105263157894,0.8842105263157894,95,0.8531468531468531,0.746177370030581,0.7960848287112561,327,0.8836424957841484,0.8762541806020067,0.8799328295549959,598,0.9544117647058824,0.9192634560906515,0.9365079365079365,706
Stacking,asymmetric,0.1,0,80000,20000,10.13875,282.61631441116333,5.884411904,0.90485,0.8593311536486181,0.9042132693416579,0.9357238506174677,0.8624520021941854,0.8975950902733176,7292,0.8924896624675449,0.9517022149302707,0.9211453525879609,9752,0.8697674418604651,0.9114541023558083,0.8901229670765569,1231,0.8085106382978723,0.8085106382978723,0.8085106382978723,94,0.8764940239043825,0.672782874617737,0.7612456747404844,327,0.8434343434343434,0.8377926421404682,0.8406040268456376,598,0.9339477726574501,0.8611898016997167,0.8960943257184967,706
Stacking,asymmetric,0.1,1,80000,20000,9.936250000000001,279.7635452747345,6.01151488,0.9087,0.854423677405908,0.908095594972295,0.9392909896602659,0.8720515633571037,0.9044232683828758,7292,0.8986486486486487,0.95467596390484,0.9258154335719968,9752,0.8762567672080434,0.9203899268887084,0.8977812995245642,1231,0.8,0.8085106382978723,0.8042328042328042,94,0.8198529411764706,0.6819571865443425,0.7445742904841403,327,0.8316326530612245,0.8177257525083612,0.8246205733558178,598,0.9389067524115756,0.8271954674220963,0.8795180722891566,706
Stacking,asymmetric,0.1,2,80000,20000,10.19375,277.8120148181915,5.557993472,0.9041,0.8555510732056618,0.903454088233618,0.9342967818831943,0.859983543609435,0.8956012567837761,7292,0.8912938912938912,0.9500615258408531,0.9197399116493771,9752,0.8610903659447349,0.9366368805848904,0.8972762645914397,1231,0.8271604938271605,0.7052631578947368,0.7613636363636364,95,0.8475836431226765,0.6993865030674846,0.7663865546218488,326,0.8682842287694974,0.8377926421404682,0.8527659574468085,598,0.9521531100478469,0.8456090651558074,0.8957239309827457,706
Stacking,asymmetric,0.1,3,80000,20000,10.08375,278.21913385391235,5.61608704,0.90545,0.8556929647565477,0.9048272137473979,0.9407796101949025,0.8605320899616018,0.8988683569689156,7292,0.8925897485121904,0.9535479901558654,0.9220624690133862,9752,0.854586129753915,0.9309504467912266,0.8911353032659409,1231,0.8255813953488372,0.7473684210526316,0.7845303867403315,95,0.8286713286713286,0.7247706422018348,0.7732463295269169,327,0.8529411764705882,0.7772194304857621,0.813321647677476,597,0.9419847328244275,0.8739376770538244,0.9066862601028656,706
Stacking,asymmetric,0.1,4,80000,20000,10.10875,280.8570194244385,5.486514176,0.90925,0.8669738829748617,0.9086648923638438,0.9448358566931494,0.8643719144267691,0.9028145813936833,7292,0.8928503154272606,0.9578547990155866,0.9242109429108538,9752,0.8856466876971609,0.9130081300813008,0.899119295436349,1230,0.8181818181818182,0.8526315789473684,0.8350515463917526,95,0.8376383763837638,0.6941896024464832,0.7591973244147158,327,0.851027397260274,0.8311036789297659,0.8409475465313029,598,0.9503875968992248,0.8682719546742209,0.9074759437453738,706
Stacking,asymmetric,0.2,0,80000,20000,19.885,283.68959069252014,5.559554048,0.88055,0.8232927908391189,0.8790366668197088,0.9416989664082688,0.7996434448710916,0.8648768911302284,7292,0.8548786074209803,0.9568293683347006,0.9029854357187788,9752,0.8283198826118855,0.917140536149472,0.8704703161141095,1231,0.8289473684210527,0.6702127659574468,0.7411764705882353,94,0.8403361344537815,0.6116207951070336,0.7079646017699115,327,0.8019639934533551,0.8193979933110368,0.8105872622001654,598,0.9371900826446281,0.8031161473087819,0.8649885583524027,706
Stacking,asymmetric,0.2,1,80000,20000,20.07125,295.4863827228546,5.459529728,0.88125,0.8276320939658569,0.8795894869904156,0.9409010172775715,0.7990948985189249,0.86421950315165,7292,0.8555758683729433,0.9598031173092699,0.9046974676203363,9752,0.8378378378378378,0.9317627944760357,0.8823076923076923,1231,0.8045977011494253,0.7446808510638298,0.7734806629834254,94,0.8373015873015873,0.6452599388379205,0.7288428324697754,327,0.8066115702479338,0.8160535117056856,0.8113050706566916,598,0.9422382671480144,0.7393767705382436,0.8285714285714286,706
Stacking,asymmetric,0.2,2,80000,20000,19.92625,289.0595135688782,5.613088768,0.8772,0.8182100871633,0.8753769665825144,0.9380921267559621,0.7875754251234229,0.8562695691069032,7292,0.8496090198217858,0.9581624282198523,0.9006265060240964,9752,0.829127613554434,0.934199837530463,0.878533231474408,1231,0.7733333333333333,0.6105263157894737,0.6823529411764706,95,0.84,0.6441717791411042,0.7291666666666666,326,0.8358714043993232,0.8260869565217391,0.830950378469302,598,0.9445407279029463,0.7719546742209632,0.8495713172252534,706
Stacking,asymmetric,0.2,3,80000,20000,20.09,286.9063103199005,5.934391296,0.8793,0.8239648211281402,0.877790978703194,0.942323314378554,0.7953922106417992,0.8626459433330854,7292,0.8542143314724994,0.9571369975389664,0.9027515837322888,9752,0.8107344632768362,0.9325751421608448,0.8673970532678504,1231,0.8472222222222222,0.6421052631578947,0.7305389221556886,95,0.8333333333333334,0.6880733944954128,0.7537688442211056,327,0.8192982456140351,0.7822445561139029,0.8003427592116538,597,0.9338983050847458,0.7804532577903682,0.8503086419753086,706
