model,noise_type,noise_level,fold,domain,ensemble,train_size,val_size,actual_noise_pct,runtime_seconds,accuracy,f1_macro,f1_weighted,precision_class_0,recall_class_0,f1_class_0,support_class_0,precision_class_1,recall_class_1,f1_class_1,support_class_1,precision_class_2,recall_class_2,f1_class_2,support_class_2,precision_class_3,recall_class_3,f1_class_3,support_class_3,precision_class_4,recall_class_4,f1_class_4,support_class_4,precision_class_5,recall_class_5,f1_class_5,support_class_5,precision_class_6,recall_class_6,f1_class_6,support_class_6,precision_class_7,recall_class_7,f1_class_7,support_class_7,precision_class_8,recall_class_8,f1_class_8,support_class_8,precision_class_9,recall_class_9,f1_class_9,support_class_9
Voting,pairflip,0.4,0,Tabular,Voting,278884,69722,24.744696719783136,210.9549641609192,0.8067754797624853,0.7498905136366819,0.827019097509906,0.9354284405071024,0.9636520986585894,0.9493305431223236,25421,0.9345415201514742,0.7114072243793388,0.8078496868475992,33996,0.2804763128587338,0.7629923094849685,0.4101728890002505,4291,0.8691860465116279,0.906060606060606,0.887240356083086,330,0.8568994889267462,0.8832309043020193,0.8698659749243407,1139,0.6128021486123545,0.6569097888675623,0.6340898564150069,2084,0.726457399103139,0.65826899634295,0.6906842890641655,2461,,,,,,,,,,,,
Voting,pairflip,0.4,1,Tabular,Voting,278885,69721,24.60942682467684,213.861602306366,0.8089097976219504,0.7464646312390769,0.8289013697779424,0.9371437315888136,0.9636127611030252,0.9501939487975176,25421,0.9382392602581392,0.7163195670078832,0.8123967907124151,33996,0.2850953206239168,0.7668997668997669,0.4156664560960202,4290,0.8505747126436781,0.8996960486322189,0.8744460856720827,329,0.8696763202725724,0.8964003511852502,0.8828361435365326,1139,0.589575120455541,0.6458733205374281,0.6164414930158003,2084,0.6998247151621385,0.648659626320065,0.6732715008431703,2462,,,,,,,,,,,,
Voting,pairflip,0.4,2,Tabular,Voting,278885,69721,24.625921078580777,214.027108669281,0.8110468868776982,0.7522393632516006,0.8295641234428354,0.9300975295055216,0.964124149325361,0.9468052229004096,25421,0.935313884221781,0.7204965290034122,0.8139704904958128,33996,0.2910541412692721,0.7568764568764569,0.4204324744270361,4290,0.845108695652174,0.9424242424242424,0.8911174785100286,330,0.8789473684210526,0.8797190517998245,0.8793330408073716,1139,0.6032171581769437,0.6477927063339731,0.6247107820453494,2084,0.7166666666666667,0.6639577407557903,0.6893060535751951,2461,,,,,,,,,,,,
Voting,pairflip,0.4,3,Tabular,Voting,278885,69721,24.540581243164745,210.0921595096588,0.8120939171842056,0.7526914423629408,0.831278472329955,0.936906584992343,0.962668659769482,0.949612929512427,25421,0.9352408492504376,0.723026238380986,0.8155545970337437,33996,0.2895040369088812,0.7606060606060606,0.4193817878028404,4290,0.845108695652174,0.9424242424242424,0.8911174785100286,330,0.8814749780509219,0.8814749780509219,0.8814749780509219,1139,0.6065347445927289,0.6324376199616123,0.6192154099130843,2084,0.706081081081081,0.6793986184477855,0.6924829157175398,2461,,,,,,,,,,,,
Voting,pairflip,0.4,4,Tabular,Voting,278885,69721,24.41795005109633,212.76771235466003,0.8106452862121886,0.7524751357042835,0.8295819033814543,0.933623586923312,0.9616837136113296,0.947445934423688,25420,0.934264773247824,0.7199082244969996,0.8131977671451356,33996,0.291780943112448,0.7685854113260312,0.4229831986661536,4291,0.8640226628895185,0.9242424242424242,0.8931185944363104,330,0.8590947907771136,0.8832309043020193,0.870995670995671,1139,0.5953878406708596,0.6813819577735125,0.6354889236965764,2084,0.7374354156881164,0.6379520520113775,0.6840958605664488,2461,,,,,,,,,,,,
Stacking,pairflip,0.4,0,Tabular,Stacking,80000,20000,24.610000000000003,297.8091313838959,0.87955,0.8042644678818033,0.8757673045197447,0.9088945876636524,0.9234777838727372,0.9161281545473096,7292,0.8813525805813723,0.9140689089417556,0.8974126648545253,9752,0.6997549019607843,0.4638505280259951,0.5578895945285784,1231,0.8469387755102041,0.8829787234042553,0.8645833333333334,94,0.8257839721254355,0.7247706422018348,0.7719869706840391,327,0.7756521739130435,0.745819397993311,0.7604433077578857,598,0.8644793152639088,0.8583569405099151,0.8614072494669509,706,,,,,,,,,,,,
Stacking,pairflip,0.4,1,Tabular,Stacking,80000,20000,24.45625,302.0472376346588,0.8785,0.7952574818811279,0.8725044192284255,0.9119233881845158,0.9271804717498628,0.9194886440908472,7292,0.874330769979558,0.9210418375717802,0.8970786516853932,9752,0.6875,0.3842404549147035,0.4929650859822824,1231,0.84,0.8936170212765957,0.865979381443299,94,0.8217821782178217,0.7614678899082569,0.7904761904761904,327,0.8181818181818182,0.677257525083612,0.7410795974382434,598,0.8473177441540578,0.8725212464589235,0.8597348220516399,706,,,,,,,,,,,,
Stacking,pairflip,0.4,2,Tabular,Stacking,80000,20000,24.77,300.8487675189972,0.88045,0.8055463730542042,0.8764981427782501,0.9084041548630784,0.9234777838727372,0.9158789527371642,7292,0.8790679382558254,0.9168375717801476,0.8975555890177183,9752,0.684596577017115,0.454914703493095,0.5466081015129332,1231,0.8690476190476191,0.7684210526315789,0.8156424581005587,95,0.8532423208191127,0.7668711656441718,0.8077544426494345,326,0.8161764705882353,0.7424749163879598,0.7775831873905429,598,0.896602658788774,0.8597733711048159,0.8778018799710774,706,,,,,,,,,,,,
Stacking,pairflip,0.4,3,Tabular,Stacking,80000,20000,24.54,307.0926158428192,0.88665,0.8159403143469067,0.882908598150728,0.9160016231570404,0.9286889742183214,0.922301668369084,7292,0.884744094488189,0.9217596390484004,0.902872639614303,9752,0.7061668681983071,0.4744110479285134,0.5675413022351797,1231,0.8977272727272727,0.8315789473684211,0.8633879781420765,95,0.8241042345276873,0.7737003058103975,0.7981072555205048,327,0.8225190839694656,0.7219430485762144,0.7689562890276539,597,0.891583452211127,0.8852691218130312,0.8884150675195451,706,,,,,,,,,,,,
Stacking,pairflip,0.4,4,Tabular,Stacking,80000,20000,24.52875,293.5156617164612,0.8891,0.8256425435445209,0.8853978534872567,0.9173105598481768,0.928003291278113,0.9226259458722476,7292,0.8846229379418696,0.9238105004101724,0.9037921348314608,9752,0.7179802955665024,0.4739837398373984,0.5710088148873653,1230,0.8736842105263158,0.8736842105263158,0.8736842105263158,95,0.8289473684210527,0.7706422018348624,0.7987321711568938,327,0.8446069469835467,0.7725752508361204,0.8069868995633188,598,0.919236417033774,0.886685552407932,0.9026676279740448,706,,,,,,,,,,,,
RF,pairflip,0.4,0,Image,RF,12960,3240,22.554012345679013,45.86071133613586,0.8722222222222222,0.8627779337675567,0.868776004493169,0.8534031413612565,0.9055555555555556,0.8787061994609164,360,0.9414893617021276,0.9833333333333332,0.9619565217391304,360,0.8651399491094147,0.9444444444444444,0.903054448871182,360,0.7862068965517242,0.76,0.7728813559322034,300,0.9136212624584718,0.9166666666666666,0.9151414309484192,300,0.8284518828451883,0.825,0.826722338204593,240,0.8491803278688524,0.8633333333333333,0.856198347107438,300,0.9206349206349206,0.9666666666666668,0.943089430894309,360.0,0.776255707762557,0.5666666666666667,0.6551059730250481,300.0,0.9187675070028012,0.9111111111111112,0.9149232914923292,360.0
RF,pairflip,0.4,1,Image,RF,12960,3240,22.939814814814817,45.46542549133301,0.8598765432098765,0.8508572232180611,0.857534493554104,0.8503937007874016,0.9,0.8744939271255061,360,0.9333333333333332,0.9722222222222222,0.9523809523809524,360,0.8611111111111112,0.9472222222222222,0.902116402116402,360,0.7790262172284644,0.6933333333333334,0.7336860670194003,300,0.8376623376623377,0.86,0.8486842105263158,300,0.821917808219178,0.75,0.7843137254901961,240,0.8713826366559485,0.9033333333333332,0.8870703764320785,300,0.9184210526315788,0.9694444444444444,0.9432432432432432,360.0,0.7472118959107806,0.67,0.7065026362038664,300.0,0.9101796407185628,0.8444444444444444,0.8760806916426513,360.0
RF,pairflip,0.4,2,Image,RF,12960,3240,22.854938271604937,46.44067525863648,0.8632716049382716,0.8557647414120032,0.8617397283148446,0.8544973544973545,0.8972222222222223,0.8753387533875339,360,0.9136125654450262,0.9694444444444444,0.9407008086253368,360,0.851010101010101,0.9361111111111112,0.8915343915343915,360,0.8607594936708861,0.68,0.7597765363128491,300,0.8303571428571429,0.93,0.8773584905660378,300,0.8068669527896996,0.7833333333333333,0.7949260042283298,240,0.8847457627118644,0.87,0.8773109243697479,300,0.927807486631016,0.9638888888888888,0.9455040871934604,360.0,0.7052980132450332,0.71,0.707641196013289,300.0,0.9641693811074918,0.8222222222222222,0.8875562218890555,360.0
RF,pairflip,0.4,3,Image,RF,12960,3240,22.924382716049383,46.22173881530762,0.8469135802469135,0.8348835228166103,0.8433985724614637,0.7994987468671679,0.8861111111111111,0.8405797101449275,360,0.907928388746803,0.9861111111111112,0.9454061251664448,360,0.8531645569620253,0.9361111111111112,0.8927152317880794,360,0.7491039426523297,0.6966666666666667,0.7219343696027634,300,0.840625,0.8966666666666666,0.867741935483871,300,0.7649769585253456,0.6916666666666667,0.7264770240700219,240,0.8464163822525598,0.8266666666666667,0.836424957841484,300,0.9041450777202072,0.9694444444444444,0.935656836461126,360.0,0.7705627705627706,0.5933333333333334,0.6704331450094162,300.0,0.9544072948328268,0.8722222222222222,0.911465892597968,360.0
RF,pairflip,0.4,4,Image,RF,12960,3240,23.109567901234566,46.1929624080658,0.8493827160493828,0.8411319285392149,0.8479094475499092,0.8195876288659794,0.8833333333333333,0.8502673796791443,360,0.9157894736842104,0.9666666666666668,0.9405405405405406,360,0.8661616161616161,0.9527777777777776,0.9074074074074074,360,0.7463768115942029,0.6866666666666666,0.7152777777777778,300,0.8745762711864407,0.86,0.8672268907563025,300,0.7937219730941704,0.7375,0.7645788336933045,240,0.8877551020408163,0.87,0.8787878787878788,300,0.8828125,0.9416666666666668,0.9112903225806452,360.0,0.7010309278350515,0.68,0.6903553299492385,300.0,0.952076677316294,0.8277777777777777,0.8855869242199108,360.0
XGBoost,pairflip,0.4,0,Image,XGBoost,12960,3240,22.554012345679013,41.233848571777344,0.8287037037037037,0.8187597586798621,0.827337628665605,0.7912087912087912,0.8,0.7955801104972375,360,0.9832402234636872,0.9777777777777776,0.98050139275766,360,0.9249329758713136,0.9583333333333334,0.941336971350614,360,0.7114754098360656,0.7233333333333334,0.7173553719008264,300,0.7793103448275862,0.7533333333333333,0.7661016949152543,300,0.7131147540983607,0.725,0.71900826446281,240,0.9046052631578948,0.9166666666666666,0.9105960264900662,300,0.948509485094851,0.9722222222222222,0.9602194787379972,360.0,0.6554307116104869,0.5833333333333334,0.6172839506172839,300.0,0.773224043715847,0.7861111111111111,0.7796143250688705,360.0
XGBoost,pairflip,0.4,1,Image,XGBoost,12960,3240,22.939814814814817,45.04828953742981,0.8225308641975309,0.8121147806983459,0.8207682511745177,0.8230337078651685,0.8138888888888889,0.8184357541899442,360,0.9669421487603306,0.975,0.970954356846473,360,0.904,0.9416666666666668,0.9224489795918368,360,0.7095588235294118,0.6433333333333333,0.6748251748251748,300,0.7491961414790996,0.7766666666666666,0.762684124386252,300,0.7389380530973452,0.6958333333333333,0.7167381974248928,240,0.8829113924050633,0.93,0.905844155844156,300,0.9543010752688172,0.9861111111111112,0.9699453551912568,360.0,0.6338983050847458,0.6233333333333333,0.6285714285714286,300.0,0.7570621468926554,0.7444444444444445,0.7507002801120448,360.0
XGBoost,pairflip,0.4,2,Image,XGBoost,12960,3240,22.854938271604937,42.29374551773071,0.8240740740740741,0.8144047484427908,0.8230508847541077,0.797752808988764,0.7888888888888889,0.7932960893854749,360,0.9436997319034852,0.9777777777777776,0.96043656207367,360,0.9050131926121372,0.9527777777777776,0.9282814614343708,360,0.7647058823529411,0.65,0.7027027027027027,300,0.7400611620795107,0.8066666666666666,0.7719298245614035,300,0.6666666666666666,0.7166666666666667,0.6907630522088354,240,0.9328621908127208,0.88,0.9056603773584906,300,0.9483695652173914,0.9694444444444444,0.9587912087912088,360.0,0.6621621621621622,0.6533333333333333,0.6577181208053692,300.0,0.7913043478260869,0.7583333333333333,0.774468085106383,360.0
XGBoost,pairflip,0.4,3,Image,XGBoost,12960,3240,22.924382716049383,45.41344356536865,0.8222222222222222,0.8107709340360808,0.8202344875158414,0.7887323943661971,0.7777777777777778,0.7832167832167832,360,0.9594594594594594,0.9861111111111112,0.9726027397260274,360,0.9159891598915988,0.9388888888888888,0.9272976680384089,360,0.7510204081632653,0.6133333333333333,0.6752293577981652,300,0.7307692307692307,0.8233333333333334,0.774294670846395,300,0.66015625,0.7041666666666667,0.6814516129032258,240,0.8851351351351351,0.8733333333333333,0.8791946308724832,300,0.9435483870967742,0.975,0.9590163934426228,360.0,0.7014925373134329,0.6266666666666667,0.6619718309859155,300.0,0.7816711590296496,0.8055555555555556,0.7934336525307798,360.0
XGBoost,pairflip,0.4,4,Image,XGBoost,12960,3240,23.109567901234566,45.79158282279968,0.8194444444444444,0.809787502435643,0.8190724117446806,0.7554945054945055,0.7638888888888888,0.7596685082872928,360,0.954177897574124,0.9833333333333332,0.9685362517099864,360,0.9272237196765498,0.9555555555555556,0.9411764705882352,360,0.7030716723549488,0.6866666666666666,0.6947723440134908,300,0.7758620689655172,0.75,0.7627118644067796,300,0.6569037656903766,0.6541666666666667,0.6555323590814196,240,0.9178082191780822,0.8933333333333333,0.9054054054054054,300,0.9381720430107529,0.9694444444444444,0.953551912568306,360.0,0.6449704142011834,0.7266666666666667,0.6833855799373041,300.0,0.8354838709677419,0.7194444444444444,0.7731343283582089,360.0
Voting,pairflip,0.4,0,Image,Voting,12960,3240,22.554012345679013,97.18180894851685,0.8577160493827161,0.849386128448946,0.8558733071370263,0.8493150684931506,0.8611111111111112,0.8551724137931035,360,0.96448087431694,0.9805555555555556,0.9724517906336088,360,0.9078947368421052,0.9583333333333334,0.9324324324324323,360,0.7594501718213058,0.7366666666666667,0.7478849407783418,300,0.8193979933110368,0.8166666666666667,0.8180300500834724,300,0.8041666666666667,0.8041666666666667,0.8041666666666667,240,0.8973509933774835,0.9033333333333332,0.9003322259136213,300,0.941018766756032,0.975,0.9577080491132332,360.0,0.7230769230769231,0.6266666666666667,0.6714285714285714,300.0,0.8296703296703297,0.8388888888888889,0.8342541436464088,360.0
Voting,pairflip,0.4,1,Image,Voting,12960,3240,22.939814814814817,99.07233047485352,0.8475308641975309,0.8375318331501423,0.8451602971648023,0.8421052631578947,0.8444444444444444,0.8432732316227461,360,0.9486486486486486,0.975,0.9616438356164384,360,0.9023746701846964,0.95,0.925575101488498,360,0.7777777777777778,0.6766666666666666,0.7237076648841355,300,0.7936507936507936,0.8333333333333334,0.8130081300813008,300,0.7747747747747747,0.7166666666666667,0.7445887445887446,240,0.8913738019169329,0.93,0.9102773246329527,300,0.949468085106383,0.9916666666666668,0.970108695652174,360.0,0.7065217391304348,0.65,0.6770833333333334,300.0,0.7983651226158038,0.8138888888888889,0.8060522696011004,360.0
Voting,pairflip,0.4,2,Image,Voting,12960,3240,22.854938271604937,95.3849959373474,0.8521604938271605,0.8435549405031209,0.8507507010966668,0.8184281842818428,0.8388888888888889,0.8285322359396433,360,0.9388297872340424,0.9805555555555556,0.9592391304347826,360,0.9031413612565444,0.9583333333333334,0.9299191374663072,360,0.8313253012048193,0.69,0.7540983606557377,300,0.7867867867867868,0.8733333333333333,0.8278041074249605,300,0.7355371900826446,0.7416666666666667,0.7385892116182573,240,0.9326241134751772,0.8766666666666667,0.9037800687285223,300,0.9482288828337876,0.9666666666666668,0.9573590096286108,360.0,0.7272727272727273,0.6933333333333334,0.7098976109215017,300.0,0.8333333333333334,0.8194444444444444,0.8263305322128851,360.0
Voting,pairflip,0.4,3,Image,Voting,12960,3240,22.924382716049383,98.93108248710632,0.8425925925925926,0.8315407193946326,0.8401584668295807,0.8102981029810298,0.8305555555555556,0.8203017832647462,360,0.956989247311828,0.9888888888888888,0.9726775956284152,360,0.9,0.95,0.9243243243243244,360,0.7777777777777778,0.63,0.6961325966850829,300,0.7588235294117647,0.86,0.80625,300,0.7137096774193549,0.7375,0.7254098360655737,240,0.8931034482758621,0.8633333333333333,0.8779661016949153,300,0.9411764705882352,0.9777777777777776,0.9591280653950952,360.0,0.7414448669201521,0.65,0.6927175843694494,300.0,0.8393351800554016,0.8416666666666667,0.840499306518724,360.0
Voting,pairflip,0.4,4,Image,Voting,12960,3240,23.109567901234566,99.00292181968688,0.8395061728395061,0.8302922049149348,0.8385182447881182,0.7813333333333333,0.8138888888888889,0.7972789115646258,360,0.9361702127659576,0.9777777777777776,0.9565217391304348,360,0.9083769633507852,0.9638888888888888,0.935309973045822,360,0.7210884353741497,0.7066666666666667,0.7138047138047138,300,0.8216783216783217,0.7833333333333333,0.8020477815699659,300,0.726457399103139,0.675,0.6997840172786177,240,0.9206896551724136,0.89,0.905084745762712,300,0.9361702127659576,0.9777777777777776,0.9565217391304348,360.0,0.6925465838509317,0.7433333333333333,0.7170418006430869,300.0,0.8765822784810127,0.7694444444444445,0.8195266272189349,360.0
Stacking,pairflip,0.4,0,Image,Stacking,12960,3240,22.554012345679013,1196.3560667037964,0.9052469135802468,0.900699753360942,0.9047436808207237,0.8865435356200527,0.9333333333333332,0.9093369418132612,360,0.9774647887323944,0.9638888888888888,0.9706293706293706,360,0.9159891598915988,0.9388888888888888,0.9272976680384089,360,0.8114478114478114,0.8033333333333333,0.8073701842546064,300,0.9066666666666666,0.9066666666666666,0.9066666666666666,300,0.8969957081545065,0.8708333333333333,0.8837209302325582,240,0.9006622516556292,0.9066666666666666,0.903654485049834,300,0.9591280653950952,0.9777777777777776,0.968363136176066,360.0,0.8339350180505415,0.77,0.8006932409012132,300.0,0.92797783933518,0.9305555555555556,0.9292649098474342,360.0
Stacking,pairflip,0.4,1,Image,Stacking,12960,3240,22.939814814814817,1218.486225605011,0.8925925925925926,0.8856715801473583,0.8919059704334105,0.8862973760932945,0.8444444444444444,0.8648648648648649,360,0.9641873278236914,0.9722222222222222,0.9681881051175656,360,0.9108108108108108,0.9361111111111112,0.9232876712328768,360,0.8172043010752689,0.76,0.7875647668393783,300,0.8668831168831169,0.89,0.8782894736842105,300,0.7833333333333333,0.7833333333333333,0.7833333333333333,240,0.8765822784810127,0.9233333333333332,0.8993506493506493,300,0.96448087431694,0.9805555555555556,0.9724517906336088,360.0,0.8615916955017301,0.83,0.8455008488964346,300.0,0.9262295081967212,0.9416666666666668,0.9338842975206612,360.0
Stacking,pairflip,0.4,2,Image,Stacking,12960,3240,22.854938271604937,1198.964388370514,0.9,0.8941041821213862,0.8995490332815608,0.8677685950413223,0.875,0.8713692946058091,360,0.945945945945946,0.9722222222222222,0.958904109589041,360,0.912,0.95,0.9306122448979592,360,0.9112903225806452,0.7533333333333333,0.8248175182481752,300,0.8486646884272997,0.9533333333333334,0.8979591836734694,300,0.776,0.8083333333333333,0.7918367346938775,240,0.9204152249134948,0.8866666666666667,0.9032258064516128,300,0.9585635359116024,0.9638888888888888,0.961218836565097,360.0,0.8552631578947368,0.8666666666666667,0.8609271523178808,300.0,0.9649122807017544,0.9166666666666666,0.9401709401709402,360.0
Stacking,pairflip,0.4,3,Image,Stacking,12960,3240,22.924382716049383,1189.702021598816,0.8858024691358025,0.8766644207734025,0.8836990964836259,0.7985436893203883,0.9138888888888888,0.8523316062176166,360,0.9699453551912568,0.9861111111111112,0.977961432506887,360,0.9214092140921408,0.9444444444444444,0.9327846364883402,360,0.8464285714285714,0.79,0.8172413793103448,300,0.8928571428571429,0.9166666666666666,0.9046052631578948,300,0.8393782383419689,0.675,0.7482678983833718,240,0.8956228956228957,0.8866666666666667,0.8911222780569514,300,0.9408602150537636,0.9722222222222222,0.9562841530054644,360.0,0.8333333333333334,0.7166666666666667,0.7706093189964157,300.0,0.8857142857142857,0.9472222222222222,0.9154362416107382,360.0
Stacking,pairflip,0.4,4,Image,Stacking,12960,3240,23.109567901234566,1217.0630657672882,0.8941358024691358,0.8876248864905232,0.8935823981418216,0.8493506493506493,0.9083333333333332,0.8778523489932886,360,0.9617486338797814,0.9777777777777776,0.9696969696969696,360,0.9302949061662198,0.9638888888888888,0.946793997271487,360,0.7993527508090615,0.8233333333333334,0.8111658456486043,300,0.925925925925926,0.8333333333333334,0.8771929824561403,300,0.8394495412844036,0.7625,0.7991266375545851,240,0.929054054054054,0.9166666666666666,0.9228187919463088,300,0.9536784741144414,0.9722222222222222,0.9628610729023384,360.0,0.8027210884353742,0.7866666666666666,0.7946127946127947,300.0,0.9116022099447514,0.9166666666666666,0.9141274238227148,360.0
