domain,arm,noise_type,noise_level,fold,actual_noise_pct,runtime_seconds,f1_macro,accuracy
Tabular,DAS,asymmetric,0.4,3,40.08875,215.29623436927795,0.6918936852530295,0.8201
Tabular,PlainStack,asymmetric,0.4,4,39.975,218.05103707313538,0.6744553990602371,0.7912
Tabular,DAS,asymmetric,0.4,4,39.975,218.05117058753967,0.682183562333365,0.8183
Tabular,PlainStack,pairflip,0.4,0,24.610000000000003,205.01320457458496,0.8123542870772197,0.88
Tabular,DAS,pairflip,0.4,0,24.610000000000003,205.01330661773682,0.8164609158686946,0.8827
Tabular,PlainStack,pairflip,0.4,1,24.456249999999997,200.47163605690002,0.7968509776088514,0.87985
Tabular,DAS,pairflip,0.4,1,24.456249999999997,200.47178864479065,0.8010788787620398,0.8809
Tabular,PlainStack,pairflip,0.4,2,24.77,203.9609293937683,0.8110186407543838,0.88265
Tabular,DAS,pairflip,0.4,2,24.77,203.9610276222229,0.8163244385131839,0.8843
Tabular,PlainStack,pairflip,0.4,3,24.54,208.19072699546814,0.8172560690191505,0.88385
Tabular,DAS,pairflip,0.4,3,24.54,208.190819978714,0.8252773566766475,0.88675
Tabular,PlainStack,pairflip,0.4,4,24.52875,205.45380902290344,0.8268975594572712,0.89065
Tabular,DAS,pairflip,0.4,4,24.52875,205.45691919326782,0.8350882835642521,0.89255
