params,mean_test_score,std_test_score,rank_test_score,mean_fit_time
"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 200, 'subsample': 1.0}",0.985452869666071,0.0026469421786331983,59,2.0886007150014243
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'subsample': 1.0}",0.9854083095715733,0.003000504781193257,60,1.3778363068898518
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 600, 'subsample': 1.0}",0.9852918974666345,0.0022852796858459233,61,3.8496414025624595
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 200, 'subsample': 0.8}",0.9852614644124597,0.002507884692505127,62,2.1593666871388755
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 600, 'subsample': 1.0}",0.9851110344211719,0.003006244318462733,63,3.7217018604278564
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 400, 'subsample': 1.0}",0.9849918930476186,0.0017738031828152042,64,3.1285018920898438
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 200, 'subsample': 0.8}",0.9849770748234447,0.0023090757254147116,65,2.1087049643198648
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 600, 'subsample': 1.0}",0.9849590226668409,0.0029992980147918688,66,2.884938955307007
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 400, 'subsample': 1.0}",0.9848304899012307,0.0026675960255691496,67,3.340400536855062
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 400, 'subsample': 1.0}",0.9846773479166308,0.0023314232683915386,68,2.2819321950276694
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 200, 'subsample': 1.0}",0.9845370257103796,0.00208256999272319,69,1.567061424255371
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 200, 'subsample': 1.0}",0.9837564087719722,0.0022474130534818537,70,2.24654491742452
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200, 'subsample': 1.0}",0.9824248291421404,0.0024773323570383625,71,1.8827420870463054
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 200, 'subsample': 1.0}",0.9824118991744957,0.0020129842797802274,72,2.2056477864583335
