dataset,condition,noise_type,fold,actual_noise_pct,f1_RF,acc_RF,f1_XGB,acc_XGB,f1_ET,acc_ET,f1_Voting,acc_Voting,f1_PlainStack,acc_PlainStack,f1_DAS,acc_DAS,mean_pairwise_kappa,f1_best_single,stack_gap_vs_best,das_delta
cifar10,c10n_random1_0,c10n_random1,0,17.325,0.8180739457679003,0.8193333333333334,0.8546625021806014,0.855,0.8242721389723737,0.8256666666666667,0.8563184815904338,0.8568333333333333,0.8547095197593885,0.855,0.8549637789080456,0.8551666666666666,0.8765466735722395,0.8546625021806014,4.701757878711188e-05,0.0002542591486571766
cifar10,c10n_random1_0,c10n_random1,1,17.09583333333333,0.8269730335497462,0.8281666666666667,0.8627189299494503,0.8631666666666666,0.8267548004034044,0.8283333333333334,0.8632461254359998,0.8638333333333333,0.8623660014252748,0.8626666666666667,0.8633038143640027,0.8636666666666667,0.8814233853939403,0.8627189299494503,-0.0003529285241755664,0.0009378129387279666
cifar10,c10n_random1_0,c10n_random1,2,17.1125,0.8201608052972474,0.8213333333333334,0.8613808258833877,0.8616666666666667,0.8302932324305257,0.8313333333333334,0.8615587719430273,0.862,0.860928466470862,0.861,0.8635249620408464,0.8636666666666667,0.8825485028380063,0.8613808258833877,-0.00045235941252574907,0.002596495569984425
cifar10,c10n_random1_0,c10n_random1,3,17.133333333333333,0.8242105163664556,0.8251666666666667,0.8671071289782958,0.8673333333333333,0.83192533395847,0.833,0.8685850070623953,0.8688333333333333,0.8711832682209725,0.8711666666666666,0.8710595494310172,0.871,0.878727506967867,0.8671071289782958,0.004076139242676691,-0.00012371878995531826
cifar10,c10n_random1_0,c10n_random1,4,17.333333333333336,0.8139861564276643,0.815,0.8552885108520828,0.8553333333333333,0.8164672556243712,0.8175,0.8570528545528783,0.8571666666666666,0.8578393676892164,0.8578333333333333,0.8603507288310132,0.8603333333333333,0.8734120074031413,0.8552885108520828,0.0025508568371336304,0.0025113611417967308
cifar10,c10n_worse_0,c10n_worse,0,40.229166666666664,0.7844709752041837,0.7868333333333334,0.7943421732997286,0.7956666666666666,0.7825505368208124,0.7858333333333334,0.8081529880101546,0.8098333333333333,0.806838272674988,0.8073333333333333,0.817410236366614,0.818,0.8237370455025971,0.7943421732997286,0.012496099375259417,0.010571963691626052
cifar10,c10n_worse_0,c10n_worse,1,40.25416666666667,0.7907987099201309,0.7928333333333333,0.7957118506716613,0.7971666666666667,0.7891450189404858,0.7926666666666666,0.8094934082754822,0.811,0.8127411799282369,0.8131666666666667,0.8149774002477519,0.8158333333333333,0.8233322119271178,0.7957118506716613,0.01702932925657563,0.002236220319514981
cifar10,c10n_worse_0,c10n_worse,2,40.204166666666666,0.7836006213012745,0.7858333333333334,0.7974717007024377,0.7985,0.7934137245360772,0.796,0.8130261514718278,0.8141666666666667,0.811828973270754,0.8118333333333333,0.8124753103381588,0.813,0.828030055515124,0.7974717007024377,0.014357272568316315,0.0006463370674048008
cifar10,c10n_worse_0,c10n_worse,3,40.15416666666667,0.7887549588027263,0.7903333333333333,0.8107721497095287,0.8108333333333333,0.795968687712676,0.7981666666666667,0.8228437659352835,0.8233333333333334,0.820214260170156,0.8195,0.8266191333798198,0.8266666666666667,0.8256644623203746,0.8107721497095287,0.009442110460627262,0.006404873209663875
cifar10,c10n_worse_0,c10n_worse,4,40.125,0.7807767578167407,0.7831666666666667,0.7983397013691804,0.799,0.7875278935342128,0.79,0.8102474260256394,0.8115,0.8081989106339759,0.8081666666666667,0.8122408280190141,0.8128333333333333,0.8265276639648337,0.7983397013691804,0.009859209264795443,0.0040419173850382295
cifar10,clean_0,clean,0,0.0,0.8252165334223971,0.8258333333333333,0.8724506338070002,0.8725,0.8272198418452742,0.828,0.8696891758978358,0.8698333333333333,0.8712498691052433,0.8711666666666666,0.8713270773440813,0.8713333333333333,0.889832601195025,0.8724506338070002,-0.0012007647017568956,7.720823883805572e-05
cifar10,clean_0,clean,1,0.0,0.8319206337440672,0.8323333333333334,0.8775241438748547,0.8775,0.8353956603182026,0.836,0.8747919515062689,0.8748333333333334,0.8778987635519518,0.8778333333333334,0.8793274363444479,0.8793333333333333,0.8977255606986754,0.8775241438748547,0.0003746196770971766,0.001428672792496033
cifar10,clean_0,clean,2,0.0,0.8255379800704732,0.8258333333333333,0.8781512492753143,0.8781666666666667,0.8319763060925702,0.8325,0.875149751091025,0.8751666666666666,0.8737574069953844,0.8736666666666667,0.8752191022059851,0.8751666666666666,0.8952870514273193,0.8781512492753143,-0.004393842279929894,0.0014616952106006886
cifar10,clean_0,clean,3,0.0,0.8283288203631158,0.8285,0.8837818298485333,0.8836666666666667,0.8356064771779084,0.8361666666666666,0.8812464388711929,0.8811666666666667,0.8821744054296661,0.882,0.8817628164410289,0.8816666666666667,0.8979962479615731,0.8837818298485333,-0.0016074244188671871,-0.0004115889886371349
cifar10,clean_0,clean,4,0.0,0.8175924274236606,0.818,0.8710635701747232,0.871,0.8250001737464598,0.8253333333333334,0.868356397384512,0.8683333333333333,0.8701310262212925,0.87,0.8687393910183729,0.8686666666666667,0.893657698728683,0.8710635701747232,-0.0009325439534307867,-0.0013916352029195167
cifar10,pairflip_40,pairflip,0,23.891666666666666,0.7613642147349264,0.7633333333333333,0.748734166115739,0.7495,0.7649518453535251,0.7673333333333333,0.772794070992783,0.774,0.8104642687364109,0.811,0.8094696274970741,0.811,0.762265279184791,0.7649518453535251,0.04551242338288575,-0.000994641239336791
cifar10,pairflip_40,pairflip,1,24.183333333333334,0.7622921967647214,0.7636666666666667,0.7556707975103301,0.7568333333333334,0.7602890181303842,0.7621666666666667,0.7735121563761302,0.7746666666666666,0.8032194487125507,0.8038333333333333,0.7948630417420359,0.7958333333333333,0.7555280071287475,0.7622921967647214,0.04092725194782931,-0.008356406970514763
cifar10,pairflip_40,pairflip,2,23.995833333333334,0.7609136017141237,0.763,0.7559746746705502,0.757,0.765243199032779,0.7673333333333333,0.7737163491381072,0.775,0.8087182626634973,0.809,0.8058587807265143,0.8063333333333333,0.764292399262198,0.765243199032779,0.04347506363071829,-0.0028594819369830438
cifar10,pairflip_40,pairflip,3,24.270833333333332,0.7575803353069035,0.7593333333333333,0.7555636293070446,0.7558333333333334,0.7643357257199253,0.766,0.7777817100169242,0.7785,0.8041695812199773,0.8043333333333333,0.7977745729352054,0.7985,0.7580338581320062,0.7643357257199253,0.03983385550005203,-0.006395008284771908
cifar10,pairflip_40,pairflip,4,23.8375,0.7603545539770338,0.7618333333333334,0.7580938177302541,0.7583333333333333,0.765178216336313,0.7671666666666667,0.7756298051632299,0.7763333333333333,0.8074213325382964,0.8076666666666666,0.8016890486652877,0.8023333333333333,0.7633282694767526,0.765178216336313,0.0422431162019834,-0.0057322838730087255
cifar10,symmetric_10,symmetric,0,10.158333333333333,0.8221337905920558,0.8226666666666667,0.8712738328368073,0.8711666666666666,0.8325632366960145,0.8333333333333334,0.8706238150677571,0.8706666666666667,0.872743729917582,0.8725,0.8722135298200409,0.872,0.8786571381867656,0.8712738328368073,0.001469897080774718,-0.0005302000975411225
