domain,arm,noise_type,noise_level,fold,actual_noise_pct,runtime_seconds,f1_macro,accuracy
Image,PlainStack,symmetric,0.4,4,40.223765432098766,363.2226092815399,0.9123756713746417,0.9157407407407407
Image,DAS,symmetric,0.4,4,40.223765432098766,363.22263503074646,0.9128352839939508,0.9160493827160494
Image,PlainStack,asymmetric,0.0,0,0.0,244.46171712875366,0.9357208477001011,0.9382716049382716
Image,DAS,asymmetric,0.0,0,0.0,244.461745262146,0.9337529812526926,0.9364197530864198
Image,PlainStack,asymmetric,0.0,1,0.0,245.77133440971375,0.9378264868669955,0.9404320987654321
Image,DAS,asymmetric,0.0,1,0.0,245.7713634967804,0.9373329272346455,0.9398148148148148
Image,PlainStack,asymmetric,0.0,2,0.0,245.17070317268372,0.9396772989546802,0.941358024691358
Image,DAS,asymmetric,0.0,2,0.0,245.17074728012085,0.9388229898201252,0.9404320987654321
Image,PlainStack,asymmetric,0.0,3,0.0,243.9964246749878,0.9280865935181616,0.9314814814814815
Image,DAS,asymmetric,0.0,3,0.0,243.99644994735718,0.9299919719874131,0.9333333333333333
Image,PlainStack,asymmetric,0.0,4,0.0,244.28340983390808,0.9351302608118063,0.9373456790123457
Image,DAS,asymmetric,0.0,4,0.0,244.28343892097473,0.9344436098917562,0.9367283950617284
Image,PlainStack,asymmetric,0.2,0,20.66358024691358,320.0323066711426,0.9040731329114852,0.9067901234567901
Image,DAS,asymmetric,0.2,0,20.66358024691358,320.03233313560486,0.9047088946653666,0.9083333333333333
Image,PlainStack,asymmetric,0.2,1,20.239197530864196,321.6491949558258,0.8962301755494542,0.9
Image,DAS,asymmetric,0.2,1,20.239197530864196,321.6492257118225,0.9026332982077557,0.9067901234567901
Image,PlainStack,asymmetric,0.2,2,19.405864197530864,317.72856426239014,0.9140564349806622,0.9163580246913581
Image,DAS,asymmetric,0.2,2,19.405864197530864,317.7285907268524,0.9187402840613859,0.921604938271605
Image,PlainStack,asymmetric,0.2,3,19.945987654320987,315.96089792251587,0.8895844873950478,0.8935185185185185
Image,DAS,asymmetric,0.2,3,19.945987654320987,315.96092343330383,0.8931121753854651,0.8975308641975308
Image,PlainStack,asymmetric,0.2,4,19.33641975308642,319.958477973938,0.8980160696566808,0.9015432098765432
Image,DAS,asymmetric,0.2,4,19.33641975308642,319.95851850509644,0.9029232848181927,0.9061728395061729
Image,PlainStack,asymmetric,0.4,0,39.513888888888886,324.60520601272583,0.7832798743565562,0.7873456790123456
Image,DAS,asymmetric,0.4,0,39.513888888888886,324.6052327156067,0.7883087067926675,0.7947530864197531
Image,PlainStack,asymmetric,0.4,1,40.08487654320987,324.5536570549011,0.7761517350315332,0.7830246913580247
Image,DAS,asymmetric,0.4,1,40.08487654320987,324.5536832809448,0.773653315630668,0.782716049382716
Image,PlainStack,asymmetric,0.4,2,39.41358024691358,325.300696849823,0.783530845639158,0.7898148148148149
Image,DAS,asymmetric,0.4,2,39.41358024691358,325.30072259902954,0.7829147677408388,0.7901234567901234
Image,PlainStack,asymmetric,0.4,3,39.96141975308642,329.32006883621216,0.7624419361975604,0.7719135802469136
Image,DAS,asymmetric,0.4,3,39.96141975308642,329.3201172351837,0.7600176589095249,0.7712962962962963
Image,PlainStack,asymmetric,0.4,4,40.223765432098766,330.5371217727661,0.7818441428627406,0.7891975308641975
Image,DAS,asymmetric,0.4,4,40.223765432098766,330.5371503829956,0.7875983353587973,0.7947530864197531
Image,PlainStack,pairflip,0.4,0,22.554012345679013,293.84420228004456,0.9036318272328682,0.9080246913580247
Image,DAS,pairflip,0.4,0,22.554012345679013,293.8442311286926,0.8922226063543996,0.8981481481481481
Image,PlainStack,pairflip,0.4,1,22.939814814814817,291.45924711227417,0.8904844184236067,0.8969135802469136
Image,DAS,pairflip,0.4,1,22.939814814814817,291.45927476882935,0.8767310979722633,0.8861111111111111
Image,PlainStack,pairflip,0.4,2,22.854938271604937,287.1959171295166,0.8859528893318143,0.8922839506172839
Image,DAS,pairflip,0.4,2,22.854938271604937,287.1959433555603,0.8843809065536625,0.891358024691358
