domain,noise_type,noise_level,fold,actual_noise_pct,runtime_seconds,kappa_RF_XGB,kappa_RF_ET,kappa_XGB_ET,kappa_mean,full_agreement_rate,f1_RF,f1_XGB,f1_ET
Tabular,asymmetric,0.0,2,0.0,53.753488063812256,0.9142772999625686,0.9384932955397713,0.8955390897816293,0.9161032284279896,0.9222,0.8484052926420247,0.8782810157697228,0.8531005339902897
Tabular,asymmetric,0.0,3,0.0,52.683037996292114,0.9068260085847172,0.9380119047855461,0.8887485290708046,0.9111954808136892,0.91795,0.8569060621514389,0.8911370692030793,0.8594196980592825
Tabular,asymmetric,0.0,4,0.0,54.380430459976196,0.9092282515938217,0.9350676116348576,0.8907780393367841,0.9116913008551545,0.91845,0.8598930829548894,0.8952825411862282,0.8660564954147013
Tabular,asymmetric,0.1,0,10.13875,59.54676961898804,0.8905309727512721,0.906749405303872,0.8507469901408719,0.8826757893986721,0.8916,0.8303340270574286,0.8397965746229802,0.7963369564689724
Tabular,asymmetric,0.1,1,9.936250000000001,58.70951819419861,0.8963673245261023,0.9113172283557502,0.85822608537183,0.8886368794178942,0.8974,0.8316079963627706,0.8373779798764146,0.801193267158017
Tabular,asymmetric,0.1,2,10.19375,58.85576820373535,0.8939827653053898,0.9171777460002566,0.8611451771481466,0.890768562817931,0.89885,0.8343496101794436,0.842049046170881,0.8011831270469468
Tabular,asymmetric,0.1,3,10.08375,59.32057571411133,0.8985583412848035,0.911675677488009,0.8534154400501495,0.8878831529409874,0.8964,0.8344566529016083,0.8437494135719559,0.7879072916663955
Tabular,asymmetric,0.1,4,10.10875,58.80660057067871,0.8929416477468858,0.9056018222649787,0.8539397083627056,0.8841610594581901,0.8929,0.8380924240008474,0.853792252635521,0.8093517399166217
Tabular,asymmetric,0.2,0,19.885,61.85459923744202,0.8588933657940617,0.8751680180524901,0.7955147806007865,0.8431920548157795,0.8541,0.7776634028646018,0.7737474529304355,0.7241066509144068
Tabular,asymmetric,0.2,1,20.07125,61.62387299537659,0.8557605601829569,0.8731641296572551,0.792672082763221,0.8405322575344777,0.8511,0.7852243874226897,0.7860291248059699,0.7235893546712158
Tabular,asymmetric,0.2,2,19.92625,63.48424530029297,0.8554744743305129,0.8716264571288599,0.7960855287052824,0.8410621533882184,0.8513,0.7688675706301863,0.7689508606836333,0.7133607945110852
