dataset,condition,fold,actual_noise_pct,gce_q,f1_GCE_XGB,acc_GCE_XGB,seconds
pendigits,asymmetric_20,2,19.77251184834123,0.7,0.9340860183630202,0.934040940106141,8.5
pendigits,asymmetric_20,3,20.132701421800945,0.7,0.9104119114226672,0.910538286580743,8.5
pendigits,asymmetric_20,4,19.446550416982564,0.7,0.9180723580968854,0.9180576631259484,8.4
pendigits,asymmetric_30,0,29.6872037914692,0.7,0.8296627875873046,0.8301743745261562,8.9
pendigits,asymmetric_30,1,29.497630331753555,0.7,0.841506550653292,0.8407884761182715,9.1
pendigits,asymmetric_30,2,29.87677725118484,0.7,0.8279496638926007,0.8278999241849886,9.0
pendigits,asymmetric_30,3,29.459715639810423,0.7,0.8202667077973823,0.8203184230477635,8.9
pendigits,asymmetric_30,4,30.81880212282032,0.7,0.8187867471108368,0.8194233687405159,9.1
pendigits,asymmetric_40,0,39.29857819905213,0.7,0.6726437221012036,0.6724791508718726,9.4
pendigits,asymmetric_40,1,40.37914691943128,0.7,0.635746371445342,0.6368460955269143,9.3
pendigits,asymmetric_40,2,39.65876777251185,0.7,0.6918444623956893,0.6921910538286581,9.4
pendigits,asymmetric_40,3,40.60663507109005,0.7,0.6860071326628262,0.6868840030326004,9.3
pendigits,asymmetric_40,4,39.992418498862776,0.7,0.6758500127502429,0.6760242792109257,9.2
pendigits,clean_0,0,0.0,0.7,0.990984433501317,0.9909021986353298,4.5
pendigits,clean_0,1,0.0,0.7,0.9969617256764892,0.99696739954511,4.7
pendigits,clean_0,2,0.0,0.7,0.9902295413692016,0.9901440485216072,4.6
pendigits,clean_0,3,0.0,0.7,0.9908246617962376,0.9909021986353298,4.6
pendigits,clean_0,4,0.0,0.7,0.9880998978976444,0.9878603945371776,4.5
pendigits,pairflip_40,0,24.0,0.7,0.8049963096365949,0.8051554207733131,7.6
pendigits,pairflip_40,1,23.81042654028436,0.7,0.7806741191231404,0.7816527672479151,7.5
pendigits,pairflip_40,2,23.658767772511847,0.7,0.8020320059685655,0.8028809704321456,7.3
pendigits,pairflip_40,3,24.113744075829384,0.7,0.8093051153832406,0.8089461713419257,7.4
pendigits,pairflip_40,4,23.71114480667172,0.7,0.805129776358595,0.8050075872534143,7.4
pendigits,symmetric_10,0,10.502369668246446,0.7,0.9872515647863954,0.9871114480667172,5.2
pendigits,symmetric_10,1,10.881516587677725,0.7,0.9902347750007532,0.9901440485216072,5.1
pendigits,symmetric_10,2,9.990521327014218,0.7,0.9818830670928224,0.9818043972706596,5.2
pendigits,symmetric_10,3,10.19905213270142,0.7,0.9908284283416868,0.9909021986353298,5.0
pendigits,symmetric_10,4,10.29188779378317,0.7,0.9841015402953828,0.9840667678300457,5.2
