model,noise_type,noise_level,fold,train_size,actual_noise_pct,runtime_seconds,accuracy,f1_macro,f1_weighted,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6
RF_100k,asymmetric,0.3,3,80000,29.983749999999997,24.006510972976685,0.7945,0.6611908366554571,0.8014352418036818,0.8225206768343577,0.8373365159878662,0.5575,0.35294117647058826,0.6148148148148148,0.6843413421706711,0.7588813303099018
RF_100k,asymmetric,0.3,4,80000,30.051250000000003,23.794315814971924,0.79935,0.6744831446686729,0.806606957116985,0.8262760357061112,0.8395941598614204,0.5480862013509167,0.34710743801652894,0.6196660482374768,0.7244480784955029,0.8162040510127532
RF_100k,asymmetric,0.4,0,80000,40.082499999999996,25.665175914764404,0.6636,0.5449397855730371,0.690766874401624,0.7305644302449414,0.7265557858551135,0.2756501182033097,0.193717277486911,0.5741444866920152,0.6503378378378378,0.6636085626911316
RF_100k,asymmetric,0.4,1,80000,39.9325,25.639097452163696,0.6682,0.5304333466063726,0.6958047943025782,0.7399446344243609,0.7352317479551651,0.26545632973503436,0.16028708133971292,0.5381679389312977,0.6184323858742463,0.6555133079847909
RF_100k,asymmetric,0.4,2,80000,40.21125,25.210216522216797,0.66285,0.5535487198752017,0.6909327320118258,0.7288567436508588,0.723705501618123,0.27974653837127433,0.17237008871989862,0.6151012891344383,0.6637401229148375,0.6913207547169812
RF_100k,asymmetric,0.4,3,80000,40.08875,24.63605284690857,0.6661,0.5476709358048378,0.6933930644872773,0.7337940111878908,0.7282729383264358,0.28524513253577294,0.190224570673712,0.5924528301886792,0.6278870829769033,0.6758199847444699
RF_100k,asymmetric,0.4,4,80000,39.975,24.903371334075928,0.6602,0.5373010496640217,0.6883902680625245,0.7324175372213539,0.7213446739570676,0.27470997679814385,0.18421052631578946,0.5230769230769231,0.6451063829787234,0.6802413273001509
RF_100k,pairflip,0.4,0,80000,24.610000000000003,23.01959252357483,0.75675,0.6911676428212282,0.776051952386708,0.8921947965310206,0.7604468349193215,0.38810440735986307,0.8169014084507042,0.7692307692307693,0.5738993710691824,0.6373959121877366
RF_100k,pairflip,0.4,1,80000,24.456249999999997,23.356401205062866,0.75775,0.6869145411073231,0.7756988743175335,0.8907049365490665,0.763148647065714,0.3805309734513274,0.821256038647343,0.7561374795417348,0.5645695364238411,0.6320541760722348
RF_100k,pairflip,0.4,2,80000,24.77,22.85278344154358,0.7538,0.692254053274174,0.7726249133063536,0.8878828229027963,0.7539180318173754,0.3921984312062752,0.7979274611398963,0.7665056360708534,0.5857260049220673,0.6616199848599545
RF_100k,pairflip,0.4,3,80000,24.54,22.978622436523438,0.7604,0.6994360182433726,0.7800395308427902,0.8976020305924788,0.7632633812780004,0.3881104033970276,0.8512820512820513,0.7736757624398074,0.5716625716625716,0.6504559270516718
RF_100k,pairflip,0.4,4,80000,24.52875,22.912083387374878,0.75635,0.6900858245734077,0.7758522081960015,0.8943784216851381,0.7594353552654893,0.38509052183173587,0.8269230769230769,0.7628205128205128,0.5649717514124294,0.6369811320754717
XGBoost_100k,symmetric,0.0,0,80000,0.0,19.072678089141846,0.92565,0.8877325141516378,0.9252260510614256,0.9225971866121544,0.937458921077911,0.9195775792038993,0.8756756756756757,0.7735191637630662,0.8595600676818951,0.9257390050468637
XGBoost_100k,symmetric,0.0,1,80000,0.0,18.91427183151245,0.9299,0.8849035583492019,0.9294391949525207,0.9290170525440178,0.9416224412433661,0.9259855189058729,0.8571428571428571,0.7650085763293311,0.8561584840654608,0.9193899782135077
XGBoost_100k,symmetric,0.0,2,80000,0.0,18.90070414543152,0.9258,0.8782810157697228,0.9253292360093599,0.9228638692701842,0.9368037269596922,0.9233822945613339,0.788235294117647,0.7783595113438045,0.8664383561643836,0.9318840579710145
XGBoost_100k,symmetric,0.0,3,80000,0.0,18.93407368659973,0.9289,0.8911370692030793,0.9285756703318196,0.9269001799806175,0.9401692081665738,0.9183755528749498,0.8666666666666667,0.7952622673434856,0.8534923339011925,0.9370932754880694
XGBoost_100k,symmetric,0.0,4,80000,0.0,18.592272996902466,0.93045,0.8952825411862282,0.9301034814323325,0.928496977277465,0.93965082248461,0.9312169312169312,0.8770053475935828,0.7783417935702199,0.8768054375531011,0.9354604786076868
XGBoost_100k,symmetric,0.1,0,80000,10.13875,26.3580424785614,0.9093,0.8506438357001207,0.9084350238891921,0.9077019237447045,0.9254783484390735,0.8916633105114781,0.8222222222222222,0.6937269372693727,0.8072601555747623,0.9064539521392313
XGBoost_100k,symmetric,0.1,1,80000,9.936250000000001,26.28533363342285,0.9134,0.8493762439098297,0.9125814833630639,0.9136351013607331,0.9291513287277495,0.9013972055888223,0.7955801104972375,0.7067395264116576,0.8034782608695652,0.8956521739130435
XGBoost_100k,symmetric,0.1,2,80000,10.19375,26.628360986709595,0.9087,0.8483266845555749,0.9080979479485902,0.9057285873192435,0.9239854633555421,0.9024101145792177,0.7555555555555555,0.7301038062283737,0.8208695652173913,0.8996336996336997
XGBoost_100k,symmetric,0.1,3,80000,10.08375,26.34875726699829,0.91205,0.8503349984425604,0.9113413306341305,0.9114065001043914,0.9281723461015755,0.8927280032141423,0.7868852459016393,0.7259786476868327,0.7986111111111112,0.9085631349782293
XGBoost_100k,symmetric,0.1,4,80000,10.10875,26.132412433624268,0.91095,0.8461229996216352,0.9101668483054429,0.9117319988879622,0.9253205934121197,0.8958502847843776,0.783068783068783,0.6785714285714286,0.8065915004336514,0.9217264081931237
XGBoost_100k,symmetric,0.2,0,80000,19.885,29.041322708129883,0.8934,0.8093230355973482,0.8924573562658922,0.8929019662529634,0.9124396135265701,0.8767013610888711,0.6947368421052632,0.6206896551724138,0.7866323907455013,0.881159420289855
XGBoost_100k,symmetric,0.2,1,80000,20.07125,28.88095498085022,0.8941,0.805622467231001,0.8932726975354737,0.8967051299874879,0.9149140061532254,0.8736,0.7211538461538461,0.6161971830985915,0.7564766839378239,0.8603104212860311
XGBoost_100k,symmetric,0.2,2,80000,19.92625,29.02642059326172,0.89295,0.7979525532188434,0.8923796707120984,0.8929863623712775,0.913456677787888,0.878222927409758,0.6078431372549019,0.6433566433566433,0.7909698996655519,0.8588322246858833
XGBoost_100k,symmetric,0.2,3,80000,20.09,29.081971645355225,0.89305,0.8062576106687824,0.8921762764202483,0.8943995541933686,0.9131353799698038,0.8718562874251496,0.6770833333333334,0.672566371681416,0.7418502202643171,0.8729121278140886
XGBoost_100k,symmetric,0.2,4,80000,20.01875,28.61202645301819,0.89375,0.8157095923146561,0.8929734218831763,0.8926859762450511,0.912767244856797,0.8819975835682642,0.7272727272727273,0.6360424028268551,0.7836456558773425,0.8755555555555555
XGBoost_100k,symmetric,0.3,0,80000,29.898750000000003,30.397495985031128,0.8704,0.7591665024598545,0.8699427714248356,0.8728671328671329,0.8979879985880692,0.8317152103559871,0.5964912280701754,0.5768566493955095,0.720527617477329,0.8177196804647785
XGBoost_100k,symmetric,0.3,1,80000,30.056250000000002,30.473606824874878,0.8728,0.7506485664520727,0.8725028359565881,0.8777048722602262,0.8997975708502024,0.8417746368276403,0.5387755102040817,0.5689948892674617,0.7067927773000859,0.8206997084548106
XGBoost_100k,symmetric,0.3,2,80000,30.03125,30.41663408279419,0.86735,0.7436419851659605,0.8669248270235017,0.8691706227310807,0.8952776231209192,0.8516634050880626,0.5201793721973094,0.5536912751677853,0.7269653423499577,0.788546255506608
XGBoost_100k,symmetric,0.3,3,80000,29.983749999999997,30.283843755722046,0.86895,0.7380834959970575,0.8682466507915069,0.8752875566399443,0.8968895172692385,0.8345834978286617,0.5327868852459017,0.5223613595706619,0.6901893287435457,0.8144863266814486
XGBoost_100k,symmetric,0.3,4,80000,30.051250000000003,29.9222891330719,0.87025,0.7474185236473655,0.8699281082140177,0.8749041745069343,0.8987796850473442,0.8440366972477065,0.5833333333333334,0.5231788079470199,0.6966101694915254,0.8110867979576951
XGBoost_100k,symmetric,0.4,0,80000,40.082499999999996,31.55650281906128,0.8355,0.667189781900979,0.8375909224347857,0.8451694557727465,0.876986763428221,0.7782101167315175,0.33544303797468356,0.4795144157814871,0.6155088852988692,0.7394957983193278
XGBoost_100k,symmetric,0.4,1,80000,39.9325,31.358578205108643,0.83785,0.6688882382043324,0.839896423120825,0.852116624614522,0.8776794393001484,0.7828503374354903,0.39087947882736157,0.4341317365269461,0.6156274664561957,0.7289325842696629
XGBoost_100k,symmetric,0.4,2,80000,40.21125,31.436518669128418,0.83255,0.6709882868921241,0.8346194891998275,0.8404240282685512,0.8700610997963341,0.7931570762052877,0.31446540880503143,0.49127906976744184,0.6187290969899666,0.7688022284122563
XGBoost_100k,symmetric,0.4,3,80000,40.08875,31.21864151954651,0.83865,0.6719909630695791,0.8412104081600273,0.8521285593459261,0.8786563887896268,0.7827450980392157,0.36578171091445427,0.47262247838616717,0.6012861736334405,0.7507163323782235
XGBoost_100k,symmetric,0.4,4,80000,39.975,30.72303605079651,0.8313,0.6580287707498886,0.8333146880631832,0.8447196228804615,0.8716981132075472,0.7795275590551181,0.34726688102893893,0.44108761329305135,0.5880478087649402,0.7338537970191625
XGBoost_100k,asymmetric,0.0,0,80000,0.0,19.0797438621521,0.92565,0.8877325141516378,0.9252260510614256,0.9225971866121544,0.937458921077911,0.9195775792038993,0.8756756756756757,0.7735191637630662,0.8595600676818951,0.9257390050468637
XGBoost_100k,asymmetric,0.0,1,80000,0.0,19.139371395111084,0.9299,0.8849035583492019,0.9294391949525207,0.9290170525440178,0.9416224412433661,0.9259855189058729,0.8571428571428571,0.7650085763293311,0.8561584840654608,0.9193899782135077
XGBoost_100k,asymmetric,0.0,2,80000,0.0,19.00479817390442,0.9258,0.8782810157697228,0.9253292360093599,0.9228638692701842,0.9368037269596922,0.9233822945613339,0.788235294117647,0.7783595113438045,0.8664383561643836,0.9318840579710145
XGBoost_100k,asymmetric,0.0,3,80000,0.0,19.048441410064697,0.9289,0.8911370692030793,0.9285756703318196,0.9269001799806175,0.9401692081665738,0.9183755528749498,0.8666666666666667,0.7952622673434856,0.8534923339011925,0.9370932754880694
XGBoost_100k,asymmetric,0.0,4,80000,0.0,18.654072999954224,0.93045,0.8952825411862282,0.9301034814323325,0.928496977277465,0.93965082248461,0.9312169312169312,0.8770053475935828,0.7783417935702199,0.8768054375531011,0.9354604786076868
XGBoost_100k,asymmetric,0.1,0,80000,10.13875,23.56151247024536,0.90185,0.8397965746229802,0.9010806060023049,0.8974775665936551,0.9195734502690851,0.8748528834837191,0.7378640776699029,0.7279411764705882,0.8309859154929577,0.8898809523809523
XGBoost_100k,asymmetric,0.1,1,80000,9.936250000000001,23.291661500930786,0.90545,0.8373779798764146,0.9047368046658394,0.9057189196812636,0.9223165252121818,0.8761682242990654,0.7346938775510204,0.7246891651865008,0.8113374667847653,0.886721680420105
XGBoost_100k,asymmetric,0.1,2,80000,10.19375,23.509925842285156,0.9018,0.842049046170881,0.9011528876607247,0.896566371681416,0.9175802272274267,0.8827639751552795,0.7021276595744681,0.7575221238938054,0.8347978910369068,0.9029850746268657
XGBoost_100k,asymmetric,0.1,3,80000,10.08375,23.322970390319824,0.90365,0.8437494135719559,0.9029713219870146,0.8996805111821087,0.9208668853762799,0.8744622604614783,0.7346938775510204,0.7565674255691769,0.8192341941228851,0.9007407407407407
XGBoost_100k,asymmetric,0.1,4,80000,10.10875,23.116464853286743,0.90505,0.853792252635521,0.9042953190029493,0.9014722536806342,0.9207896176221968,0.8846761453396524,0.8097560975609757,0.7366548042704626,0.8306595365418895,0.8925373134328358
XGBoost_100k,asymmetric,0.2,0,80000,19.885,24.480340003967285,0.8653,0.7737474529304355,0.8647296061619302,0.8640222482435597,0.8912277266496965,0.7857405365674385,0.5785123966942148,0.6742424242424242,0.7841726618705036,0.8383141762452108
XGBoost_100k,asymmetric,0.2,1,80000,20.07125,24.44852924346924,0.86685,0.7860291248059699,0.8663794602419943,0.8659748611517101,0.8933726067746687,0.7861271676300579,0.6558704453441295,0.7108655616942909,0.7743682310469314,0.815625
XGBoost_100k,asymmetric,0.2,2,80000,19.92625,24.571041345596313,0.8613,0.7689508606836333,0.8609724667995071,0.8592777085927771,0.8877215376307134,0.7798787013913664,0.5470085470085471,0.6830188679245283,0.7954144620811288,0.8303362001563722
