params,mean_test_score,std_test_score,mean_fit_time,rank_test_score
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 8, ""n_estimators"": 400, ""subsample"": 1.0}",0.8581071702906425,0.0027037933141757196,85.38145105044048,49
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 10, ""n_estimators"": 400, ""subsample"": 1.0}",0.8575913158334939,0.00296657970872811,106.25154264767964,50
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 10, ""n_estimators"": 600, ""subsample"": 1.0}",0.8574027599264094,0.0039847176443017305,182.56239104270935,51
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 10, ""n_estimators"": 200, ""subsample"": 0.8}",0.8573334416241019,0.0030493936818655277,65.25670059521993,52
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 8, ""n_estimators"": 200, ""subsample"": 1.0}",0.8562215201672148,0.0024469283564950866,43.024381160736084,53
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 10, ""n_estimators"": 200, ""subsample"": 0.8}",0.8558399790548251,0.0035171670153395086,62.85434659322103,54
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 8, ""n_estimators"": 400, ""subsample"": 1.0}",0.8547580701510267,0.003425858488885769,97.06183195114136,55
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 8, ""n_estimators"": 200, ""subsample"": 1.0}",0.8539795424028149,0.003378708383140047,48.76093792915344,56
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 200, ""subsample"": 0.8}",0.8537282440700725,0.0028016354488908843,25.62635286649068,57
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 10, ""n_estimators"": 400, ""subsample"": 1.0}",0.8534893103670141,0.0038870304350697178,135.52398657798767,58
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 10, ""n_estimators"": 200, ""subsample"": 1.0}",0.8530564391088807,0.002305628647418994,68.06917889912923,59
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 10, ""n_estimators"": 400, ""subsample"": 1.0}",0.8524363025040983,0.004105844388389488,150.25599106152853,60
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 200, ""subsample"": 0.8}",0.8519343554781215,0.0037741886757375847,29.8431073029836,61
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 8, ""n_estimators"": 200, ""subsample"": 0.8}",0.8515330124010344,0.00474870148187971,54.376386642456055,62
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 8, ""n_estimators"": 200, ""subsample"": 0.8}",0.850128716090668,0.002906515430601472,62.31004770596822,63
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 200, ""subsample"": 1.0}",0.8494190964331932,0.004439542214339032,25.440484046936035,64
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 10, ""n_estimators"": 200, ""subsample"": 0.8}",0.8493883791198554,0.004088196764095783,83.29770342508952,65
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 10, ""n_estimators"": 200, ""subsample"": 1.0}",0.8492201601992583,0.0030582651994741157,75.62263544400533,66
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 10, ""n_estimators"": 200, ""subsample"": 0.8}",0.8485453390240734,0.003198516995701341,94.28730988502502,67
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 8, ""n_estimators"": 200, ""subsample"": 1.0}",0.8477618821933159,0.003977004286990477,57.39526502291361,68
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 200, ""subsample"": 1.0}",0.8456322146191991,0.004189190653163865,29.383115530014038,69
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 10, ""n_estimators"": 200, ""subsample"": 1.0}",0.8439721979785558,0.0039675220565181185,95.61009796460469,70
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 8, ""n_estimators"": 200, ""subsample"": 1.0}",0.8436763424357873,0.003194406862213437,66.10617637634277,71
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 10, ""n_estimators"": 200, ""subsample"": 1.0}",0.8409070030277452,0.004221780651097561,108.24771237373352,72
