model,noise_type,noise_level,fold,train_size,val_size,actual_noise_pct,runtime_seconds,ram_gb,accuracy,f1_macro,f1_weighted,precision_class_0,recall_class_0,f1_class_0,support_class_0,precision_class_1,recall_class_1,f1_class_1,support_class_1,precision_class_2,recall_class_2,f1_class_2,support_class_2,precision_class_3,recall_class_3,f1_class_3,support_class_3,precision_class_4,recall_class_4,f1_class_4,support_class_4,precision_class_5,recall_class_5,f1_class_5,support_class_5,precision_class_6,recall_class_6,f1_class_6,support_class_6,precision_class_7,recall_class_7,f1_class_7,support_class_7,precision_class_8,recall_class_8,f1_class_8,support_class_8,precision_class_9,recall_class_9,f1_class_9,support_class_9
Stacking_Image,asymmetric,0.2,0,12960,3240,20.66358024691358,1264.6639318466187,1.583128576,0.9089506172839507,0.9063462623819147,0.9089616192569322,0.9054054054054054,0.9305555555555556,0.9178082191780822,360,0.9681159420289855,0.9277777777777778,0.9475177304964539,360,0.8986666666666666,0.9361111111111111,0.9170068027210885,360,0.8662207357859532,0.8633333333333333,0.8647746243739566,300,0.9082278481012658,0.9566666666666667,0.9318181818181818,300,0.9203539823008849,0.8666666666666667,0.8927038626609443,240,0.8720538720538721,0.8633333333333333,0.8676716917922948,300,0.9213483146067416,0.9111111111111111,0.9162011173184358,360,0.8443708609271523,0.85,0.8471760797342193,300,0.9689265536723164,0.9527777777777777,0.9607843137254902,360
Stacking_Image,asymmetric,0.2,1,12960,3240,20.239197530864196,1258.1419332027435,1.527894016,0.8996913580246914,0.8961101867470767,0.8995030480300154,0.9180327868852459,0.9333333333333333,0.9256198347107438,360,0.9546742209631728,0.9361111111111111,0.9453015427769986,360,0.8777173913043478,0.8972222222222223,0.8873626373626373,360,0.850909090909091,0.78,0.8139130434782609,300,0.8801261829652997,0.93,0.9043760129659644,300,0.8938053097345132,0.8416666666666667,0.8669527896995708,240,0.8823529411764706,0.9,0.8910891089108911,300,0.9155313351498637,0.9333333333333333,0.9243466299862448,360,0.8312101910828026,0.87,0.8501628664495114,300,0.9683908045977011,0.9361111111111111,0.9519774011299436,360
Stacking_Image,asymmetric,0.2,2,12960,3240,19.405864197530864,1228.0797607898712,1.49940224,0.9157407407407407,0.9131711574641741,0.9156554773024764,0.9237057220708447,0.9416666666666667,0.9325997248968363,360,0.9491525423728814,0.9333333333333333,0.9411764705882353,360,0.8927613941018767,0.925,0.9085948158253752,360,0.90625,0.87,0.8877551020408163,300,0.9233226837060703,0.9633333333333334,0.9429037520391517,300,0.9308755760368663,0.8416666666666667,0.8840262582056893,240,0.8695652173913043,0.8666666666666667,0.8681135225375626,300,0.9331476323119777,0.9305555555555556,0.9318497913769124,360,0.8571428571428571,0.9,0.8780487804878049,300,0.9633802816901409,0.95,0.9566433566433566,360
Stacking_Image,asymmetric,0.2,3,12960,3240,19.945987654320987,1227.4915747642517,1.46403328,0.8932098765432098,0.8892116973434139,0.892929834630569,0.8944591029023746,0.9416666666666667,0.9174560216508796,360,0.9714285714285714,0.9444444444444444,0.9577464788732394,360,0.8870523415977961,0.8944444444444445,0.8907330567081605,360,0.7993311036789298,0.7966666666666666,0.7979966611018364,300,0.8990536277602523,0.95,0.9238249594813615,300,0.8851063829787233,0.8666666666666667,0.8757894736842106,240,0.8795620437956204,0.8033333333333333,0.8397212543554007,300,0.8997289972899729,0.9222222222222223,0.9108367626886146,360,0.822742474916388,0.82,0.8213689482470785,300,0.9633802816901409,0.95,0.9566433566433566,360
Stacking_Image,asymmetric,0.2,4,12960,3240,19.33641975308642,1232.724102973938,1.61445888,0.9027777777777778,0.8993331235977209,0.9024908929363842,0.9021164021164021,0.9472222222222222,0.924119241192412,360,0.9627507163323782,0.9333333333333333,0.9478138222849083,360,0.884514435695538,0.9361111111111111,0.9095816464237517,360,0.8581818181818182,0.7866666666666666,0.8208695652173913,300,0.889937106918239,0.9433333333333334,0.9158576051779935,300,0.9357798165137615,0.85,0.8908296943231441,240,0.8869257950530035,0.8366666666666667,0.8610634648370498,300,0.9,0.925,0.9123287671232877,360,0.8233438485804416,0.87,0.8460291734197731,300,0.9772079772079773,0.9527777777777777,0.9648382559774965,360
Stacking_Image,asymmetric,0.3,0,12960,3240,30.10030864197531,1336.4302730560303,1.627578368,0.8688271604938271,0.8655856607180494,0.869093921045274,0.8612565445026178,0.9138888888888889,0.8867924528301887,360,0.963076923076923,0.8694444444444445,0.9138686131386862,360,0.8363171355498721,0.9083333333333333,0.8708388814913449,360,0.8310344827586207,0.8033333333333333,0.8169491525423729,300,0.8652037617554859,0.92,0.8917609046849758,300,0.892018779342723,0.7916666666666666,0.8388520971302428,240,0.7967741935483871,0.8233333333333334,0.8098360655737705,300,0.9020172910662824,0.8694444444444445,0.8854314002828855,360,0.7898089171974523,0.8266666666666667,0.8078175895765473,300,0.9484240687679083,0.9194444444444444,0.9337094499294781,360
Stacking_Image,asymmetric,0.3,1,12960,3240,29.390432098765434,1339.4658606052399,1.533034496,0.8608024691358025,0.8564476159579938,0.8607073278239049,0.8736842105263158,0.9222222222222223,0.8972972972972973,360,0.9523809523809523,0.8888888888888888,0.9195402298850575,360,0.8293333333333334,0.8638888888888889,0.8462585034013606,360,0.7870036101083032,0.7266666666666667,0.755632582322357,300,0.8318042813455657,0.9066666666666666,0.8676236044657097,300,0.8672985781990521,0.7625,0.811529933481153,240,0.827922077922078,0.85,0.8388157894736842,300,0.888268156424581,0.8833333333333333,0.8857938718662952,360,0.7872340425531915,0.8633333333333333,0.8235294117647058,300,0.9469026548672567,0.8916666666666667,0.9184549356223176,360
Stacking_Image,asymmetric,0.3,2,12960,3240,29.791666666666668,1327.472678899765,1.532940288,0.870679012345679,0.8659998748189863,0.8702098136830124,0.8618090452261307,0.9527777777777777,0.9050131926121372,360,0.94,0.9138888888888889,0.9267605633802817,360,0.8756906077348067,0.8805555555555555,0.8781163434903048,360,0.8327526132404182,0.7966666666666666,0.8143100511073254,300,0.8616352201257862,0.9133333333333333,0.8867313915857605,300,0.8564814814814815,0.7708333333333334,0.8114035087719298,240,0.8098591549295775,0.7666666666666667,0.7876712328767124,300,0.8544973544973545,0.8972222222222223,0.8753387533875339,360,0.8354430379746836,0.88,0.8571428571428571,300,0.9577039274924471,0.8805555555555555,0.9175108538350217,360
Stacking_Image,asymmetric,0.3,3,12960,3240,29.28240740740741,1325.2860434055328,1.643384832,0.8626543209876543,0.8577462647075084,0.8623259750201145,0.8829787234042553,0.9222222222222223,0.9021739130434783,360,0.9481268011527377,0.9138888888888889,0.9306930693069307,360,0.8638888888888889,0.8638888888888889,0.8638888888888889,360,0.794425087108014,0.76,0.7768313458262351,300,0.8413173652694611,0.9366666666666666,0.886435331230284,300,0.8552036199095022,0.7875,0.8199566160520607,240,0.7993311036789298,0.7966666666666666,0.7979966611018364,300,0.8688524590163934,0.8833333333333333,0.8760330578512396,360,0.7993311036789298,0.7966666666666666,0.7979966611018364,300,0.9373219373219374,0.9138888888888889,0.9254571026722925,360
Stacking_Image,asymmetric,0.3,4,12960,3240,30.277777777777775,1312.7990515232086,1.679785984,0.8567901234567902,0.8516833271510762,0.8562382892013818,0.8615384615384616,0.9333333333333333,0.896,360,0.9427710843373494,0.8694444444444445,0.9046242774566474,360,0.8260869565217391,0.8972222222222223,0.8601864181091877,360,0.8198529411764706,0.7433333333333333,0.7797202797202797,300,0.834375,0.89,0.8612903225806452,300,0.8689320388349514,0.7458333333333333,0.8026905829596412,240,0.8095238095238095,0.7933333333333333,0.8013468013468014,300,0.8575197889182058,0.9027777777777778,0.8795669824086604,360,0.8032258064516129,0.83,0.8163934426229508,300,0.9335260115606936,0.8972222222222223,0.9150141643059491,360
