dataset,condition,noise_type,fold,actual_noise_pct,f1_RF,acc_RF,f1_XGB,acc_XGB,f1_ET,acc_ET,f1_Voting,acc_Voting,f1_PlainStack,acc_PlainStack,f1_DAS,acc_DAS,mean_pairwise_kappa,f1_best_single,stack_gap_vs_best,das_delta
har,symmetric_30,symmetric,0,29.53671859194821,0.9639962550859827,0.9644012944983819,0.967819410026289,0.9676375404530745,0.9788945057087658,0.9789644012944984,0.9750207570942293,0.9749190938511327,0.9734336011863753,0.9733009708737864,0.9729042903935685,0.9724919093851133,0.9601015962395381,0.9788945057087658,-0.005460904522390453,-0.0005293107928068252
har,symmetric_30,symmetric,1,29.617641108638477,0.9705970611302108,0.9700647249190939,0.9711400219569933,0.970873786407767,0.9698323092026445,0.9692556634304207,0.9754070621067665,0.9749190938511327,0.9768418565217575,0.9765372168284789,0.9719474899019213,0.9716828478964401,0.9636528744720115,0.9711400219569933,0.005701834564764141,-0.004894366619836221
har,symmetric_30,symmetric,2,29.880639287881856,0.9625832357997882,0.9627831715210357,0.9664000676450873,0.9660194174757282,0.9664345301818916,0.9660194174757282,0.9689385278197976,0.9684466019417476,0.9660760660923531,0.9660194174757282,0.9703966337362099,0.9700647249190939,0.9636637776613352,0.9664345301818916,-0.000358464089538546,0.004320567643856799
har,symmetric_30,symmetric,3,29.213028525187134,0.9677062279795107,0.9684466019417476,0.9713991037294232,0.970873786407767,0.9703590851051646,0.970873786407767,0.9759328918808352,0.9757281553398058,0.9743101531320076,0.9741100323624595,0.9739000164302353,0.9733009708737864,0.9646461059961936,0.9713991037294232,0.0029110494025844647,-0.00041013670177236783
har,symmetric_30,symmetric,4,30.6836569579288,0.9598025615786135,0.9611336032388664,0.9649625143810622,0.9651821862348178,0.9636526355935521,0.9643724696356275,0.9697930964091044,0.9700404858299595,0.9695211835687719,0.9700404858299595,0.968825538548942,0.9692307692307692,0.9580930996854461,0.9649625143810622,0.004558669187709752,-0.0006956450198298825
har,symmetric_40,symmetric,0,39.3081124822982,0.9638345509765149,0.9652103559870551,0.950711206136582,0.9514563106796117,0.9599366599070978,0.9603559870550162,0.9687300825556792,0.9692556634304207,0.964870356165381,0.9652103559870551,0.9649402228949974,0.9652103559870551,0.9490369815401706,0.9638345509765149,0.0010358051888660347,6.986672961639684e-05
har,symmetric_40,symmetric,1,40.38033582844427,0.969611654038426,0.9692556634304207,0.9523340693663238,0.9522653721682848,0.971211308757295,0.970873786407767,0.9747106459752161,0.9741100323624595,0.9712702968490823,0.970873786407767,0.9713471150574063,0.970873786407767,0.9464451045226121,0.971211308757295,5.898809178728204e-05,7.681820832405872e-05
har,symmetric_40,symmetric,2,39.368804369815905,0.9580844452041504,0.9587378640776699,0.93703871973708,0.9368932038834952,0.9620137312005431,0.9619741100323624,0.960146771213909,0.959546925566343,0.9544551647414231,0.9538834951456311,0.9505107559872418,0.9498381877022654,0.9412860209678368,0.9620137312005431,-0.007558566459120009,-0.003944408754181339
har,symmetric_40,symmetric,3,40.52195023265224,0.9583416985846176,0.9587378640776699,0.9427483260428628,0.9425566343042071,0.9623584311743084,0.9627831715210357,0.9603881333227423,0.9603559870550162,0.9553268123054685,0.9555016181229773,0.9575477523409935,0.9579288025889967,0.9406398737949181,0.9623584311743084,-0.007031618868839962,0.0022209400355250875
har,symmetric_40,symmetric,4,39.66423948220065,0.9567093675466348,0.957085020242915,0.9394641053126237,0.9392712550607287,0.9607548597381057,0.9603238866396762,0.9654015601082649,0.9651821862348178,0.9612769881270448,0.9611336032388664,0.9637687986701575,0.9635627530364372,0.9470682717570328,0.9607548597381057,0.0005221283889390582,0.00249181054311276
