model,noise_type,noise_level,fold,train_size,val_size,actual_noise_pct,runtime_seconds,accuracy,f1_macro,f1_weighted,precision_class_0,recall_class_0,f1_class_0,support_class_0,precision_class_1,recall_class_1,f1_class_1,support_class_1,precision_class_2,recall_class_2,f1_class_2,support_class_2,precision_class_3,recall_class_3,f1_class_3,support_class_3,precision_class_4,recall_class_4,f1_class_4,support_class_4,precision_class_5,recall_class_5,f1_class_5,support_class_5,precision_class_6,recall_class_6,f1_class_6,support_class_6
Voting,symmetric,0.4,0,278884,69722,40.13138078914531,226.84289860725403,0.8903932761538682,0.758460822019246,0.8942369416541195,0.9336809790150974,0.8733724086385272,0.902520325203252,25421,0.9286745248977628,0.908459818802212,0.9184559567001724,33996,0.8254598662207357,0.9202982987648567,0.8703030303030304,4291,0.2959738846572361,0.8242424242424242,0.4355484387510008,330,0.5100755667506297,0.7111501316944688,0.594059405940594,1139,0.6824271079590228,0.8310940499040307,0.749459108610991,2084,0.7806158152554233,0.9065420560747663,0.8388794886256815,2461
Voting,symmetric,0.4,1,278885,69721,39.942628682073256,223.80807328224182,0.8919981067397197,0.76188476033463,0.895932945003078,0.9339116587042159,0.8766374257503639,0.9043686463892214,25421,0.9310834062849036,0.907283209789387,0.9190292448192124,33996,0.8312644645487061,0.920979020979021,0.8738250580559549,4290,0.2849344978165939,0.7933130699088146,0.41927710843373495,329,0.532347504621072,0.7585601404741001,0.6256335988414192,1139,0.6791650560494782,0.8430902111324377,0.7523014343823592,2084,0.7812828601472135,0.90536149471974,0.838758231420508,2462
Voting,symmetric,0.4,2,278885,69721,40.06776986930097,227.1444652080536,0.8916251918360322,0.7639918774103757,0.8951492261660259,0.9295551289541775,0.8762047126391566,0.9020918129720754,25421,0.929459956025421,0.9077244381691963,0.9184636218878819,33996,0.8348101265822785,0.9223776223776223,0.8764119601328904,4290,0.2972665148063781,0.7909090909090909,0.43211920529801323,330,0.5361675126903553,0.7418788410886743,0.6224677716390423,1139,0.6922160444797458,0.8363723608445297,0.757496740547588,2084,0.7821503865073788,0.9045103616416091,0.8388920293951385,2461
Voting,symmetric,0.4,3,278885,69721,40.01111569284831,222.75617861747742,0.8922562785961188,0.7629975208073974,0.8956767146492538,0.9344020870150636,0.8735690964163487,0.9029621647996422,25421,0.9297303781903248,0.9118719849394047,0.9207145933263042,33996,0.8220603537981269,0.9207459207459208,0.868609125893348,4290,0.30742049469964666,0.7909090909090909,0.44274809160305345,330,0.5484508899143046,0.7304653204565408,0.6265060240963856,1139,0.6742099102614124,0.8291746641074856,0.7437056165267915,2084,0.7751911049339819,0.9065420560747663,0.8357370294062558,2461
Voting,symmetric,0.4,4,278885,69721,39.85513742223497,228.73156142234802,0.8896315313893949,0.7575663428114029,0.8935015390866321,0.9303495096806638,0.8733280881195908,0.9009374619536544,25420,0.9290771594709409,0.9070773032121426,0.9179454358730111,33996,0.8292272057275216,0.9177347937543696,0.8712389380530974,4291,0.2860310421286031,0.7818181818181819,0.41883116883116883,330,0.5226130653266332,0.7304653204565408,0.6093006224826071,1139,0.6728723404255319,0.8498080614203455,0.7510602205258694,2084,0.7841031149301826,0.8898821617228769,0.8336505519604112,2461
Voting,asymmetric,0.0,0,278884,69722,0.0,181.90302205085754,0.9562835260032702,0.9298958527604542,0.9562121562545154,0.9660260533933741,0.9451634475433697,0.9554808820312966,25421,0.9549059334298119,0.9704671137780916,0.9626236395996849,33996,0.9389607442704788,0.9643439757632254,0.9514830995631179,4291,0.9079365079365079,0.8666666666666667,0.8868217054263566,330,0.8926919518963923,0.8472344161545216,0.8693693693693694,1139,0.9234866828087167,0.9150671785028791,0.9192576524463726,2084,0.969983552631579,0.958553433563592,0.9642346208869814,2461
Voting,asymmetric,0.0,1,278885,69721,0.0,179.05200386047363,0.9583626167151934,0.9337140642133949,0.9582914783810607,0.9665688913890786,0.94626489909917,0.9563091357239405,25421,0.9571213350330282,0.9717613836921991,0.9643858010275572,33996,0.9512531616463555,0.9643356643356643,0.957749739553189,4290,0.89375,0.8693009118541033,0.8813559322033898,329,0.9101123595505618,0.8533801580333626,0.8808337109198007,1139,0.9239543726235742,0.9328214971209213,0.9283667621776505,2084,0.9640694388373032,0.9699431356620634,0.9669973678882365,2462
Voting,asymmetric,0.0,2,278885,69721,0.0,181.3658046722412,0.956584099482222,0.9355178092799751,0.9565058432850263,0.9620754490538864,0.9460288737657842,0.953984688008251,25421,0.955511731098286,0.9691434286386633,0.9622793054602276,33996,0.9563711911357341,0.9657342657342657,0.9610299234516354,4290,0.8911764705882353,0.9181818181818182,0.9044776119402985,330,0.9115969581749049,0.8419666374012291,0.8753993610223643,1139,0.9304347826086956,0.9241842610364683,0.9272989889263361,2084,0.9665169456921192,0.9618041446566437,0.9641547861507128,2461
Voting,asymmetric,0.0,3,278885,69721,0.0,176.2623782157898,0.957057414552287,0.9359467118825019,0.9569706074142365,0.9651046058707786,0.9454388104323197,0.9551704951911613,25421,0.9554931371981236,0.9706141899046947,0.9629943090617248,33996,0.9523919574763116,0.9606060606060606,0.956481374028084,4290,0.9023668639053254,0.9242424242424242,0.9131736526946108,330,0.9180327868852459,0.835820895522388,0.875,1139,0.9211657907310081,0.9251439539347409,0.9231505865453675,2084,0.9602249899558055,0.971149939049167,0.9656565656565657,2461
Voting,asymmetric,0.0,4,278885,69721,0.0,179.03263998031616,0.9549776968201833,0.92990507350469,0.9549000435851064,0.9617541049259111,0.9447285601888277,0.9531653105774955,25420,0.9547458807147831,0.9681138957524414,0.961383419991821,33996,0.945716903344022,0.9622465625728268,0.9539101305302068,4291,0.8895705521472392,0.8787878787878788,0.8841463414634146,330,0.9098671726755219,0.8419666374012291,0.8746010031919744,1139,0.9256951102588686,0.9265834932821497,0.9261390887290167,2084,0.9587249693502248,0.9532710280373832,0.9559902200488998,2461
Voting,asymmetric,0.1,0,278884,69722,10.010255159851408,196.46923565864563,0.942428501764149,0.9052024473216995,0.9423898624497796,0.964329795112318,0.9220329648715628,0.9427071812094033,25421,0.9373303232074987,0.9648193905165313,0.9508762266448274,33996,0.8927943760984183,0.9470985784199487,0.9191450865091032,4291,0.773841961852861,0.8606060606060606,0.8149210903873745,330,0.8896353166986565,0.8138718173836699,0.8500687757909215,1139,0.9043728976453628,0.9030710172744721,0.9037214885954382,2084,0.9710205795884083,0.9394555058919138,0.9549772821148286,2461
