file,rows,cols,columns
/kaggle/input/datasets/rabianaz22/3e-tabular-stacking-3rd-paper/stacking_results/stacking_per_class_metrics.csv,10,9,noise_type|noise_level|f1_class_0|f1_class_1|f1_class_2|f1_class_3|f1_class_4|f1_class_5|f1_class_6
/kaggle/input/datasets/rabianaz22/3e-tabular-stacking-3rd-paper/stacking_results/stacking_results_full.csv,50,40,model|noise_type|noise_level|fold|train_size|val_size|actual_noise_pct|runtime_seconds|ram_gb|accuracy|f1_macro|f1_weighted|precision_class_0|recall_class_0|f1_class_0|support_class_0|precision_class_1|recall_class_1|f1_class_1|support_class_1|precision_class_2|recall_class_2|f1_class_2|support_class_2|precision_class_3
/kaggle/input/datasets/rabianaz22/3e-tabular-stacking-3rd-paper/stacking_results/stacking_summary.csv,10,8,noise_type|noise_level|accuracy_mean|accuracy_std|f1_macro_mean|f1_macro_std|f1_weighted_mean|f1_weighted_std
/kaggle/input/datasets/rabianaz22/3e-tabular-stacking-3rd-paper/stacking_results/stacking_test_results.csv,1,34,model|condition|train_size|accuracy|f1_macro|f1_weighted|precision_class_0|recall_class_0|f1_class_0|support_class_0|precision_class_1|recall_class_1|f1_class_1|support_class_1|precision_class_2|recall_class_2|f1_class_2|support_class_2|precision_class_3|recall_class_3|f1_class_3|support_class_3|precision_class_4|recall_class_4|f1_class_4
/kaggle/input/datasets/rabianaz22/4b-image-tuning-3rd-paper/image_tuning_results/rf_grid_search_image.csv,36,5,params|mean_test_score|std_test_score|rank_test_score|mean_fit_time
/kaggle/input/datasets/rabianaz22/4b-image-tuning-3rd-paper/image_tuning_results/xgb_grid_search_image.csv,72,5,params|mean_test_score|std_test_score|rank_test_score|mean_fit_time
/kaggle/input/datasets/rabianaz22/4c-image-rf-3rd-paper/rf_image_results/checkpoints/rf_image_results_intermediate.csv,50,51,model|noise_type|noise_level|fold|train_size|val_size|actual_noise_pct|runtime_seconds|accuracy|f1_macro|f1_weighted|precision_class_0|recall_class_0|f1_class_0|support_class_0|precision_class_1|recall_class_1|f1_class_1|support_class_1|precision_class_2|recall_class_2|f1_class_2|support_class_2|precision_class_3|recall_class_3
/kaggle/input/datasets/rabianaz22/4c-image-rf-3rd-paper/rf_image_results/rf_image_nsi.csv,2,7,model|noise_type|f1_clean|f1_at_40pct_noise|total_drop|nsi_slope|relative_drop_pct
/kaggle/input/datasets/rabianaz22/4c-image-rf-3rd-paper/rf_image_results/rf_image_per_class_metrics.csv,10,12,noise_type|noise_level|f1_class_0|f1_class_1|f1_class_2|f1_class_3|f1_class_4|f1_class_5|f1_class_6|f1_class_7|f1_class_8|f1_class_9
/kaggle/input/datasets/rabianaz22/4c-image-rf-3rd-paper/rf_image_results/rf_image_results_full.csv,50,51,model|noise_type|noise_level|fold|train_size|val_size|actual_noise_pct|runtime_seconds|accuracy|f1_macro|f1_weighted|precision_class_0|recall_class_0|f1_class_0|support_class_0|precision_class_1|recall_class_1|f1_class_1|support_class_1|precision_class_2|recall_class_2|f1_class_2|support_class_2|precision_class_3|recall_class_3
/kaggle/input/datasets/rabianaz22/4c-image-rf-3rd-paper/rf_image_results/rf_image_summary.csv,10,8,noise_type|noise_level|accuracy_mean|accuracy_std|f1_macro_mean|f1_macro_std|f1_weighted_mean|f1_weighted_std
/kaggle/input/datasets/rabianaz22/4c-image-rf-3rd-paper/rf_image_results/rf_image_test_results.csv,1,45,model|condition|accuracy|f1_macro|f1_weighted|precision_class_0|recall_class_0|f1_class_0|support_class_0|precision_class_1|recall_class_1|f1_class_1|support_class_1|precision_class_2|recall_class_2|f1_class_2|support_class_2|precision_class_3|recall_class_3|f1_class_3|support_class_3|precision_class_4|recall_class_4|f1_class_4|support_class_4
/kaggle/input/datasets/rabianaz22/4d-image-xgb-3rd-paper/xgb_image_results/checkpoints/xgb_image_results_intermediate.csv,50,51,model|noise_type|noise_level|fold|train_size|val_size|actual_noise_pct|runtime_seconds|accuracy|f1_macro|f1_weighted|precision_class_0|recall_class_0|f1_class_0|support_class_0|precision_class_1|recall_class_1|f1_class_1|support_class_1|precision_class_2|recall_class_2|f1_class_2|support_class_2|precision_class_3|recall_class_3
/kaggle/input/datasets/rabianaz22/4d-image-xgb-3rd-paper/xgb_image_results/xgb_image_nsi.csv,2,7,model|noise_type|f1_clean|f1_at_40pct_noise|total_drop|nsi_slope|relative_drop_pct
/kaggle/input/datasets/rabianaz22/4d-image-xgb-3rd-paper/xgb_image_results/xgb_image_per_class_metrics.csv,10,12,noise_type|noise_level|f1_class_0|f1_class_1|f1_class_2|f1_class_3|f1_class_4|f1_class_5|f1_class_6|f1_class_7|f1_class_8|f1_class_9
/kaggle/input/datasets/rabianaz22/4d-image-xgb-3rd-paper/xgb_image_results/xgb_image_results_full.csv,50,51,model|noise_type|noise_level|fold|train_size|val_size|actual_noise_pct|runtime_seconds|accuracy|f1_macro|f1_weighted|precision_class_0|recall_class_0|f1_class_0|support_class_0|precision_class_1|recall_class_1|f1_class_1|support_class_1|precision_class_2|recall_class_2|f1_class_2|support_class_2|precision_class_3|recall_class_3
/kaggle/input/datasets/rabianaz22/4d-image-xgb-3rd-paper/xgb_image_results/xgb_image_summary.csv,10,8,noise_type|noise_level|accuracy_mean|accuracy_std|f1_macro_mean|f1_macro_std|f1_weighted_mean|f1_weighted_std
/kaggle/input/datasets/rabianaz22/4d-image-xgb-3rd-paper/xgb_image_results/xgb_image_test_results.csv,1,45,model|condition|accuracy|f1_macro|f1_weighted|precision_class_0|recall_class_0|f1_class_0|support_class_0|precision_class_1|recall_class_1|f1_class_1|support_class_1|precision_class_2|recall_class_2|f1_class_2|support_class_2|precision_class_3|recall_class_3|f1_class_3|support_class_3|precision_class_4|recall_class_4|f1_class_4|support_class_4
/kaggle/input/datasets/rabianaz22/4e-image-voting-3rd-paper/voting_image_results/checkpoints/voting_image_results_intermediate.csv,50,51,model|noise_type|noise_level|fold|train_size|val_size|actual_noise_pct|runtime_seconds|accuracy|f1_macro|f1_weighted|precision_class_0|recall_class_0|f1_class_0|support_class_0|precision_class_1|recall_class_1|f1_class_1|support_class_1|precision_class_2|recall_class_2|f1_class_2|support_class_2|precision_class_3|recall_class_3
/kaggle/input/datasets/rabianaz22/4e-image-voting-3rd-paper/voting_image_results/voting_image_nsi.csv,2,7,model|noise_type|f1_clean|f1_at_40pct_noise|total_drop|nsi_slope|relative_drop_pct
/kaggle/input/datasets/rabianaz22/4e-image-voting-3rd-paper/voting_image_results/voting_image_per_class_metrics.csv,10,12,noise_type|noise_level|f1_class_0|f1_class_1|f1_class_2|f1_class_3|f1_class_4|f1_class_5|f1_class_6|f1_class_7|f1_class_8|f1_class_9
/kaggle/input/datasets/rabianaz22/4e-image-voting-3rd-paper/voting_image_results/voting_image_results_full.csv,50,51,model|noise_type|noise_level|fold|train_size|val_size|actual_noise_pct|runtime_seconds|accuracy|f1_macro|f1_weighted|precision_class_0|recall_class_0|f1_class_0|support_class_0|precision_class_1|recall_class_1|f1_class_1|support_class_1|precision_class_2|recall_class_2|f1_class_2|support_class_2|precision_class_3|recall_class_3
/kaggle/input/datasets/rabianaz22/4e-image-voting-3rd-paper/voting_image_results/voting_image_summary.csv,10,8,noise_type|noise_level|accuracy_mean|accuracy_std|f1_macro_mean|f1_macro_std|f1_weighted_mean|f1_weighted_std
/kaggle/input/datasets/rabianaz22/4e-image-voting-3rd-paper/voting_image_results/voting_image_test_results.csv,1,45,model|condition|accuracy|f1_macro|f1_weighted|precision_class_0|recall_class_0|f1_class_0|support_class_0|precision_class_1|recall_class_1|f1_class_1|support_class_1|precision_class_2|recall_class_2|f1_class_2|support_class_2|precision_class_3|recall_class_3|f1_class_3|support_class_3|precision_class_4|recall_class_4|f1_class_4|support_class_4
/kaggle/input/datasets/rabianaz22/4f-parta-image-stacking-symmetric-3rd-paper/stacking_symmetric_results/checkpoints/stacking_symmetric_results_intermediate.csv,25,52,model|noise_type|noise_level|fold|train_size|val_size|actual_noise_pct|runtime_seconds|ram_gb|accuracy|f1_macro|f1_weighted|precision_class_0|recall_class_0|f1_class_0|support_class_0|precision_class_1|recall_class_1|f1_class_1|support_class_1|precision_class_2|recall_class_2|f1_class_2|support_class_2|precision_class_3
/kaggle/input/datasets/rabianaz22/4f-parta-image-stacking-symmetric-3rd-paper/stacking_symmetric_results/stacking_symmetric_nsi.csv,1,7,model|noise_type|f1_clean|f1_at_40pct_noise|total_drop|nsi_slope|relative_drop_pct
/kaggle/input/datasets/rabianaz22/4f-parta-image-stacking-symmetric-3rd-paper/stacking_symmetric_results/stacking_symmetric_per_class_metrics.csv,5,12,noise_type|noise_level|f1_class_0|f1_class_1|f1_class_2|f1_class_3|f1_class_4|f1_class_5|f1_class_6|f1_class_7|f1_class_8|f1_class_9
