domain,arm,noise_type,noise_level,fold,actual_noise_pct,runtime_seconds,f1_macro,accuracy
Tabular,Disagreement,asymmetric,0.1,3,10.08375,223.2401692867279,0.8555629085040334,0.90825
Tabular,PlainStack,asymmetric,0.1,4,10.10875,224.08693075180054,0.8692888563765765,0.90835
Tabular,AllFour,asymmetric,0.1,4,10.10875,224.08703207969666,0.8635359986394457,0.91315
Tabular,Confidence,asymmetric,0.1,4,10.10875,224.08712911605835,0.870286658612586,0.913
Tabular,Disagreement,asymmetric,0.1,4,10.10875,224.08722567558289,0.8728542945206691,0.91115
Tabular,PlainStack,asymmetric,0.2,0,19.885,243.05673956871033,0.8209033176863849,0.8807
Tabular,AllFour,asymmetric,0.2,0,19.885,243.05683135986328,0.8177344458672934,0.8939
Tabular,Confidence,asymmetric,0.2,0,19.885,243.05691862106323,0.8178417100771959,0.8935
Tabular,Disagreement,asymmetric,0.2,0,19.885,243.05700516700745,0.8170869252559309,0.8872
Tabular,PlainStack,asymmetric,0.2,1,20.07125,246.1938178539276,0.828485137784285,0.88225
Tabular,AllFour,asymmetric,0.2,1,20.07125,246.19391894340515,0.8322964396518867,0.8971
Tabular,Confidence,asymmetric,0.2,1,20.07125,246.19401621818542,0.8374468537069768,0.89755
Tabular,Disagreement,asymmetric,0.2,1,20.07125,246.19411253929138,0.8322724341292727,0.8909
Tabular,PlainStack,asymmetric,0.2,2,19.92625,237.15237474441528,0.8251532746429392,0.879
Tabular,AllFour,asymmetric,0.2,2,19.92625,237.15248441696167,0.8317119696977986,0.89715
Tabular,Confidence,asymmetric,0.2,2,19.92625,237.15258765220642,0.8346190568230517,0.89775
Tabular,Disagreement,asymmetric,0.2,2,19.92625,237.15269875526428,0.8240705161530892,0.88885
Tabular,PlainStack,asymmetric,0.2,3,20.09,241.5876476764679,0.8186271384342874,0.8788
Tabular,AllFour,asymmetric,0.2,3,20.09,241.59083795547485,0.8213413008456827,0.89285
Tabular,Confidence,asymmetric,0.2,3,20.09,241.590961933136,0.8232515950037732,0.89345
Tabular,Disagreement,asymmetric,0.2,3,20.09,241.59105515480042,0.8201949189081926,0.8859
Tabular,PlainStack,asymmetric,0.2,4,20.01875,241.28760266304016,0.8259637077336015,0.88215
Tabular,AllFour,asymmetric,0.2,4,20.01875,241.28770422935486,0.8315585125409733,0.89645
Tabular,Confidence,asymmetric,0.2,4,20.01875,241.28780007362366,0.8291837920037738,0.89655
Tabular,Disagreement,asymmetric,0.2,4,20.01875,241.2879195213318,0.8256178194082092,0.88975
Tabular,PlainStack,asymmetric,0.3,0,29.898750000000003,245.18620562553406,0.7799714472957476,0.84445
Tabular,AllFour,asymmetric,0.3,0,29.898750000000003,245.1863341331482,0.7789417727526189,0.869
Tabular,Confidence,asymmetric,0.3,0,29.898750000000003,245.18644881248474,0.7741597064106632,0.868
Tabular,Disagreement,asymmetric,0.3,0,29.898750000000003,245.18655276298523,0.7787892145306372,0.8537
Tabular,PlainStack,asymmetric,0.3,1,30.056250000000002,248.07318353652954,0.7750912106261426,0.84895
Tabular,AllFour,asymmetric,0.3,1,30.056250000000002,248.07327508926392,0.7833947445000536,0.8757
Tabular,Confidence,asymmetric,0.3,1,30.056250000000002,248.07336235046387,0.7787272991211813,0.8742
Tabular,Disagreement,asymmetric,0.3,1,30.056250000000002,248.0734486579895,0.785140291869301,0.8582
Tabular,PlainStack,asymmetric,0.3,2,30.03125,252.18976759910583,0.7898465136015974,0.84615
Tabular,AllFour,asymmetric,0.3,2,30.03125,252.18986630439758,0.7889980136681167,0.87055
Tabular,Confidence,asymmetric,0.3,2,30.03125,252.18997883796692,0.786398855076295,0.87025
Tabular,Disagreement,asymmetric,0.3,2,30.03125,252.19007563591003,0.7862329408704395,0.85355
Tabular,PlainStack,asymmetric,0.3,3,29.983749999999997,251.57623934745789,0.7690646268475617,0.8436
Tabular,AllFour,asymmetric,0.3,3,29.983749999999997,251.57634377479553,0.7733945175501497,0.87075
Tabular,Confidence,asymmetric,0.3,3,29.983749999999997,251.57646250724792,0.7684891184693774,0.87075
Tabular,Disagreement,asymmetric,0.3,3,29.983749999999997,251.5765929222107,0.776703956023367,0.8552
Tabular,PlainStack,asymmetric,0.3,4,30.051250000000003,257.89969992637634,0.7837330109628953,0.8444
Tabular,AllFour,asymmetric,0.3,4,30.051250000000003,257.90011191368103,0.789682354685921,0.8717
Tabular,Confidence,asymmetric,0.3,4,30.051250000000003,257.90022253990173,0.7887125104089252,0.8703
Tabular,Disagreement,asymmetric,0.3,4,30.051250000000003,257.9003200531006,0.7816373418015671,0.8514
Tabular,PlainStack,asymmetric,0.4,0,40.082499999999996,263.1462061405182,0.6967048024231345,0.7903
Tabular,AllFour,asymmetric,0.4,0,40.082499999999996,263.14633107185364,0.7025850070819982,0.81945
Tabular,Confidence,asymmetric,0.4,0,40.082499999999996,263.1464469432831,0.7003808916375069,0.8192
Tabular,Disagreement,asymmetric,0.4,0,40.082499999999996,263.1465618610382,0.6970092497871849,0.79245
Tabular,PlainStack,asymmetric,0.4,1,39.9325,265.87870597839355,0.6701184174171617,0.79545
Tabular,AllFour,asymmetric,0.4,1,39.9325,265.8788254261017,0.679508710713761,0.8232
Tabular,Confidence,asymmetric,0.4,1,39.9325,265.8789427280426,0.6734261665125725,0.82105
Tabular,Disagreement,asymmetric,0.4,1,39.9325,265.87906551361084,0.6712860091985554,0.8018
Tabular,PlainStack,asymmetric,0.4,2,40.21125,261.8777153491974,0.6995347496615636,0.7945
Tabular,AllFour,asymmetric,0.4,2,40.21125,261.87783575057983,0.6988906351823445,0.8173
Tabular,Confidence,asymmetric,0.4,2,40.21125,261.8779487609863,0.6931779704313084,0.81605
Tabular,Disagreement,asymmetric,0.4,2,40.21125,261.8780608177185,0.6942112273419351,0.79525
Tabular,PlainStack,asymmetric,0.4,3,40.08875,261.67225456237793,0.6954176369717853,0.7939
Tabular,AllFour,asymmetric,0.4,3,40.08875,261.6723778247833,0.6949000510351414,0.8203
Tabular,Confidence,asymmetric,0.4,3,40.08875,261.6724956035614,0.690805801042673,0.8186
Tabular,Disagreement,asymmetric,0.4,3,40.08875,261.6726121902466,0.6945269373745685,0.7971
Tabular,PlainStack,asymmetric,0.4,4,39.975,255.89741897583008,0.6747379944902392,0.7913
Tabular,AllFour,asymmetric,0.4,4,39.975,255.8975372314453,0.680671427643994,0.818
Tabular,Confidence,asymmetric,0.4,4,39.975,255.89766669273376,0.6783750939782615,0.8176
Tabular,Disagreement,asymmetric,0.4,4,39.975,255.8977792263031,0.6750089958484249,0.7955
Tabular,PlainStack,pairflip,0.4,0,24.610000000000003,245.1654589176178,0.8123542870772197,0.88
Tabular,AllFour,pairflip,0.4,0,24.610000000000003,245.16561698913574,0.8162598274860953,0.88285
Tabular,Confidence,pairflip,0.4,0,24.610000000000003,245.16573429107666,0.8152343074997869,0.88185
Tabular,Disagreement,pairflip,0.4,0,24.610000000000003,245.16886734962463,0.8149199180387761,0.8815
Tabular,PlainStack,pairflip,0.4,1,24.456249999999997,245.72542476654053,0.7968509776088514,0.87985
Tabular,AllFour,pairflip,0.4,1,24.456249999999997,245.7255518436432,0.8011172272064657,0.88105
Tabular,Confidence,pairflip,0.4,1,24.456249999999997,245.72566962242126,0.7986626446906088,0.8806
Tabular,Disagreement,pairflip,0.4,1,24.456249999999997,245.72578644752502,0.7998065490168768,0.88005
Tabular,PlainStack,pairflip,0.4,2,24.77,246.35915637016296,0.8105389161152179,0.88255
