domain,model,ensemble,noise_type,noise_level,fold,train_size,actual_noise_pct,f1_macro,accuracy,source_file,source_path,who
Tabular,RandomForest,RF,asymmetric,0.3,3.0,278885.0,30.011294978216828,0.7261359653402646,0.8318870928414681,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,asymmetric,0.3,4.0,278885.0,29.930257991645306,0.7253023045484192,0.8319157786032902,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,asymmetric,0.4,0.0,278884.0,40.13138078914531,0.5859421717581729,0.6894380539858295,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,asymmetric,0.4,1.0,278885.0,39.942628682073256,0.5869741237342982,0.690322858249308,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,asymmetric,0.4,2.0,278885.0,40.06776986930097,0.5848515496055653,0.6944822937135153,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,asymmetric,0.4,3.0,278885.0,40.01111569284831,0.5875266552060892,0.6907388017957287,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,asymmetric,0.4,4.0,278885.0,39.85513742223497,0.595291379947436,0.6931770915506088,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,XGBoost,XGBoost,symmetric,0.0,0.0,278884.0,0.0,0.9359856805469464,0.9620636241071684,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,symmetric,0.0,1.0,278885.0,0.0,0.9371227919982108,0.9628519384403552,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,symmetric,0.0,2.0,278885.0,0.0,0.937935776536299,0.961403307468338,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
