dataset,condition,fold,actual_noise_pct,n_train,n_flagged,flag_rate_pct,flag_precision,flag_recall,f1_CL_XGB,acc_CL_XGB,seconds
pendigits,symmetric_40,0,39.29857819905213,5275,2018,38.26,0.9822,0.9561,0.9872112572610616,0.9871114480667172,4.6
pendigits,symmetric_40,1,40.37914691943128,5275,2078,39.39,0.975,0.9512,0.9827834898050058,0.982562547384382,4.5
pendigits,symmetric_40,2,39.65876777251185,5275,2021,38.31,0.9807,0.9474,0.977394558497456,0.9772554965883244,4.9
pendigits,symmetric_40,3,40.60663507109005,5275,2089,39.6,0.9828,0.9585,0.9816795756078374,0.9818043972706596,4.6
pendigits,symmetric_40,4,39.992418498862776,5276,2039,38.65,0.9745,0.9417,0.9767046865090324,0.9764795144157816,4.8
satimage,asymmetric_10,0,10.038860103626943,3088,449,14.54,0.6526,0.9452,0.8917950641054847,0.908150064683053,1.3
satimage,asymmetric_10,1,11.006798316607316,3089,439,14.21,0.6856,0.8853,0.8605241062922974,0.8821243523316062,1.3
satimage,asymmetric_10,2,9.841372612495954,3089,409,13.24,0.6626,0.8914,0.881705268646371,0.8950777202072538,1.3
satimage,asymmetric_10,3,9.906118484946584,3089,408,13.21,0.6471,0.8627,0.8874174334100409,0.9041450777202072,1.3
satimage,asymmetric_10,4,10.747814826804792,3089,466,15.09,0.6373,0.8946,0.894789852306307,0.9106217616580312,1.4
satimage,asymmetric_20,0,21.340673575129536,3088,776,25.13,0.7732,0.9105,0.8846789157082288,0.9016817593790428,1.2
satimage,asymmetric_20,1,20.135966332146328,3089,727,23.54,0.7813,0.9132,0.8570328286695054,0.8782383419689119,1.3
satimage,asymmetric_20,2,19.19715118161217,3089,723,23.41,0.7414,0.9039,0.8744682034244439,0.8911917098445595,1.2
satimage,asymmetric_20,3,20.4920686306248,3089,742,24.02,0.7615,0.8926,0.8768449745901034,0.8976683937823834,1.3
satimage,asymmetric_20,4,19.391388798964066,3089,729,23.6,0.7627,0.9282,0.8897276101604378,0.9067357512953368,1.2
satimage,asymmetric_30,0,29.889896373056995,3088,1039,33.65,0.7565,0.8516,0.8664753538620537,0.8861578266494179,1.3
satimage,asymmetric_30,1,29.07089673033344,3089,1011,32.73,0.7428,0.8363,0.8235414944522681,0.8471502590673575,1.5
satimage,asymmetric_30,2,29.97733894464228,3089,1060,34.32,0.7406,0.8477,0.8378856549018027,0.8549222797927462,1.4
satimage,asymmetric_30,3,28.81191324053092,3089,1021,33.05,0.7512,0.8618,0.8625491863352645,0.8808290155440415,1.3
satimage,asymmetric_30,4,30.689543541599225,3089,1098,35.55,0.7104,0.8228,0.86555723396508,0.883419689119171,1.4
satimage,asymmetric_40,0,38.53626943005181,3088,1314,42.55,0.6324,0.6983,0.7638251760180905,0.7800776196636481,1.5
satimage,asymmetric_40,1,40.72515377144707,3089,1335,43.22,0.6367,0.6757,0.679287455272814,0.7176165803108808,1.5
satimage,asymmetric_40,2,39.00938815150534,3089,1405,45.48,0.6292,0.7336,0.8035725523306859,0.8160621761658031,1.6
satimage,asymmetric_40,3,40.854645516348334,3089,1385,44.84,0.6209,0.6815,0.7327175537417613,0.7512953367875648,1.5
satimage,asymmetric_40,4,38.815150534153446,3089,1398,45.26,0.6438,0.7506,0.8055278033426402,0.8316062176165803,1.5
satimage,clean_0,0,0.0,3088,108,3.5,0.0,,0.8944283921009225,0.9120310478654592,1.4
satimage,clean_0,1,0.0,3089,100,3.24,0.0,,0.8598338204688757,0.883419689119171,1.3
satimage,clean_0,2,0.0,3089,108,3.5,0.0,,0.8883214845792144,0.9015544041450776,1.3
satimage,clean_0,3,0.0,3089,108,3.5,0.0,,0.9082003222763526,0.922279792746114,1.5
satimage,clean_0,4,0.0,3089,121,3.92,0.0,,0.900177911774196,0.9158031088082902,1.3
satimage,pairflip_40,0,19.52720207253886,3088,749,24.26,0.5754,0.7148,0.820113021453901,0.8564036222509702,1.4
satimage,pairflip_40,1,21.68986727096148,3089,801,25.93,0.5755,0.6881,0.7183630945901923,0.7875647668393783,1.3
satimage,pairflip_40,2,20.03884752347038,3089,749,24.25,0.5874,0.7108,0.835407097501053,0.8613989637305699,1.4
satimage,pairflip_40,3,21.560375526060213,3089,762,24.67,0.5486,0.6276,0.7680802441336788,0.8186528497409327,1.4
satimage,pairflip_40,4,20.751052120427325,3089,850,27.52,0.5529,0.7332,0.8103818313652099,0.8536269430051814,1.3
satimage,symmetric_10,0,10.038860103626943,3088,451,14.6,0.6408,0.9323,0.880765578711177,0.9029754204398448,1.4
satimage,symmetric_10,1,11.006798316607316,3089,442,14.31,0.7127,0.9265,0.8543013380236935,0.8782383419689119,1.3
satimage,symmetric_10,2,9.841372612495954,3089,404,13.08,0.6708,0.8914,0.8849140723586647,0.8989637305699482,1.3
