dataset,condition,fold,method,f1,noise_type,noise_level
pendigits,asymmetric_20,2,RF,0.96357603672377,asymmetric,20
pendigits,asymmetric_20,3,RF,0.962741364515466,asymmetric,20
pendigits,asymmetric_20,4,RF,0.9629857776371924,asymmetric,20
pendigits,asymmetric_30,0,RF,0.9092560268672808,asymmetric,30
pendigits,asymmetric_30,1,RF,0.9129067648774792,asymmetric,30
pendigits,asymmetric_30,2,RF,0.8984959388705948,asymmetric,30
pendigits,asymmetric_30,3,RF,0.9059722621107256,asymmetric,30
pendigits,asymmetric_30,4,RF,0.9091176798478868,asymmetric,30
pendigits,asymmetric_40,0,RF,0.758315245232928,asymmetric,40
pendigits,asymmetric_40,1,RF,0.7133033441273879,asymmetric,40
pendigits,asymmetric_40,2,RF,0.748964771497486,asymmetric,40
pendigits,asymmetric_40,3,RF,0.7341227436222603,asymmetric,40
pendigits,asymmetric_40,4,RF,0.7454822214120435,asymmetric,40
pendigits,clean_0,0,RF,0.9940713628491784,clean,0
pendigits,clean_0,1,RF,0.9933345831491612,clean,0
pendigits,clean_0,2,RF,0.9850511957452536,clean,0
pendigits,clean_0,3,RF,0.9924690479039052,clean,0
pendigits,clean_0,4,RF,0.9902400636623472,clean,0
pendigits,pairflip_40,0,RF,0.8418369087022123,pairflip,40
pendigits,pairflip_40,1,RF,0.8296113247365172,pairflip,40
pendigits,pairflip_40,2,RF,0.8449377057638705,pairflip,40
pendigits,pairflip_40,3,RF,0.845731525058955,pairflip,40
pendigits,pairflip_40,4,RF,0.8493443592145997,pairflip,40
pendigits,symmetric_10,0,RF,0.9910011431558516,symmetric,10
pendigits,symmetric_10,1,RF,0.9910664335594552,symmetric,10
pendigits,symmetric_10,2,RF,0.9827655572875628,symmetric,10
pendigits,symmetric_10,3,RF,0.9923988676893868,symmetric,10
pendigits,symmetric_10,4,RF,0.9895375365506182,symmetric,10
pendigits,symmetric_20,0,RF,0.9879466055582318,symmetric,20
pendigits,symmetric_20,1,RF,0.9873570349567375,symmetric,20
