ensemble,domain,noise_type,noise_level,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std,n_folds
RF,Tabular,asymmetric,0.3,0.7268571141693613,0.004710369220480379,0.8324010560581628,0.001840705215956743,5
RF,Tabular,asymmetric,0.4,0.5881171760503123,0.004138823648380271,0.691631819858998,0.0021116661821549863,5
RF,Tabular,symmetric,0.0,0.910722492789156,0.00270868619496929,0.9429183665463873,0.001051786392949534,5
RF,Tabular,symmetric,0.1,0.8987652273198072,0.003965436484334737,0.9345450186317791,0.001314823150478817,5
RF,Tabular,symmetric,0.2,0.8600021641177028,0.003371906278528031,0.9225113752435632,0.001795783630391272,5
RF,Tabular,symmetric,0.3,0.7939583123458551,0.003270790856667657,0.9018548191706076,0.0008865270809327006,5
RF,Tabular,symmetric,0.4,0.7068283774974528,0.003194237292231847,0.8620190200145175,0.0016737593196656433,5
Stacking,Tabular,asymmetric,0.0,0.8894528693100666,0.005669003153814879,0.92714,0.001612606585624632,5
Stacking,Tabular,asymmetric,0.1,0.8583945503983195,0.005138918489192134,0.90647,0.0023443016017568935,5
Stacking,Tabular,asymmetric,0.2,0.8235637527723109,0.0034198662373859335,0.8800399999999999,0.0018572156579137673,5
Stacking,Tabular,asymmetric,0.3,0.7787081838319604,0.009510973993160993,0.84527,0.002635004743828766,5
Stacking,Tabular,asymmetric,0.4,0.6830630213497246,0.011646962528233669,0.79342,0.002098392241693627,5
Stacking,Tabular,symmetric,0.0,0.8894528693100666,0.005669003153814879,0.92714,0.001612606585624632,5
Stacking,Tabular,symmetric,0.1,0.8559989649213249,0.0043428742503189,0.9122999999999999,0.001605070091927444,5
Stacking,Tabular,symmetric,0.2,0.8284749759970819,0.004944347531524035,0.89886,0.0017282216293056988,5
Stacking,Tabular,symmetric,0.3,0.780428068042093,0.008447328944117026,0.88092,0.0010305338422390486,5
Stacking,Tabular,symmetric,0.4,0.677576493970357,0.013250314374473503,0.85983,0.001641112427592937,5
Voting,Tabular,asymmetric,0.0,0.9329959023282033,0.002947311415987458,0.9566530707146311,0.0012282344521589935,5
Voting,Tabular,asymmetric,0.1,0.9093606534771776,0.0025030835301950217,0.9435896145250304,0.0012340020783297224,5
Voting,Tabular,asymmetric,0.2,0.8491307375909202,0.004691538124090774,0.9167398188084727,0.0019134306043227202,5
Voting,Tabular,asymmetric,0.3,0.7426709141338829,0.0038266320969963102,0.8523117838460363,0.0013568653413655492,5
Voting,Tabular,asymmetric,0.4,0.6043499472201378,0.003634364042604773,0.7159716204264497,0.002163736179438118,5
Voting,Tabular,symmetric,0.0,0.9329959023282033,0.002947311415987458,0.9566530707146311,0.0012282344521589935,5
Voting,Tabular,symmetric,0.1,0.9093056127668373,0.00403949170994579,0.9448202282763158,0.0015667082639176683,5
Voting,Tabular,symmetric,0.2,0.8791388924155346,0.004073454013112555,0.9336672351840265,0.001288647136159437,5
Voting,Tabular,symmetric,0.3,0.8309474470956584,0.004635392653660899,0.9182257341531097,0.0012311086495657487,5
Voting,Tabular,symmetric,0.4,0.7609802646766104,0.0028266455276634937,0.8911808769430267,0.0011227817717464163,5
XGBoost,Tabular,asymmetric,0.0,0.9362350137468803,0.0015732604291105103,0.9613919419869935,0.0011343204089818832,5
XGBoost,Tabular,asymmetric,0.1,0.9065477950553424,0.003239778236198251,0.9439481845317971,0.0011708904532851745,5
XGBoost,Tabular,asymmetric,0.2,0.8510600663586729,0.0042856205840694096,0.9168172680202382,0.0018039407942255067,5
XGBoost,Tabular,asymmetric,0.3,0.7511130890773882,0.0036906992202473525,0.8581866084888269,0.001320256100038626,5
XGBoost,Tabular,asymmetric,0.4,0.6076916672024304,0.0052977569702440195,0.7328560125204344,0.002155710386547731,5
XGBoost,Tabular,symmetric,0.0,0.9362350137468803,0.0015732604291105103,0.9613919419869935,0.0011343204089818832,5
XGBoost,Tabular,symmetric,0.1,0.9106378718691002,0.0033801931270111595,0.9473933304145653,0.0013878833093014494,5
XGBoost,Tabular,symmetric,0.2,0.8887157863902992,0.004799622276347156,0.9359965133250977,0.0012098813028271105,5
XGBoost,Tabular,symmetric,0.3,0.8575072549427116,0.006480714778441868,0.9226289856327423,0.0013259488398104351,5
XGBoost,Tabular,symmetric,0.4,0.8070814100503227,0.0029470162075646003,0.9037308577491533,0.001443973466662094,5
